sigma,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,winner
0.0100,2.0595,0.0229,21.4657,0.2939,3.0054,0.1070,Unpooled
0.0200,2.0469,0.0211,21.3367,0.3274,2.8117,0.0866,Unpooled
0.0300,2.0567,0.0211,21.7201,0.3047,2.9157,0.1043,Unpooled
0.0400,2.0550,0.0211,21.3384,0.2972,2.9637,0.0950,Unpooled
0.0500,2.1090,0.0232,21.7395,0.2915,2.8992,0.0897,Unpooled
0.0600,2.1157,0.0232,21.0024,0.3016,2.9499,0.0926,Unpooled
0.0700,2.0778,0.0235,21.0610,0.3054,2.8786,0.0956,Unpooled
0.0800,2.0693,0.0205,20.9781,0.2934,2.9861,0.1033,Unpooled
0.0900,2.1043,0.0210,21.5273,0.3001,2.9376,0.0916,Unpooled
0.1000,2.0663,0.0199,21.7352,0.3063,2.8669,0.0875,Unpooled
0.2000,2.2293,0.0210,22.1869,0.3099,2.8138,0.0796,Unpooled
0.3000,2.4930,0.0219,21.4188,0.3232,2.9963,0.0733,Unpooled
0.4000,2.8190,0.0212,21.6858,0.3056,3.2140,0.0707,Unpooled
0.5000,3.2124,0.0232,21.4925,0.2920,3.6436,0.0714,Unpooled
0.6000,3.6736,0.0260,21.2488,0.3252,3.9984,0.0705,Unpooled
0.7000,4.0976,0.0281,21.5968,0.3140,4.4263,0.0722,Unpooled
0.8000,4.6216,0.0311,21.6891,0.3136,4.8302,0.0722,Unpooled
0.9000,5.2528,0.0327,21.5808,0.3226,5.3086,0.0702,Unpooled
1.0000,5.8332,0.0362,21.3654,0.3125,5.7411,0.0772,EB
1.5000,9.2683,0.0532,21.3761,0.3092,7.8758,0.0927,EB
2.0000,12.9079,0.0683,22.2298,0.3181,10.2724,0.1135,EB
2.5000,16.7546,0.0891,21.8071,0.3095,12.3627,0.1335,EB
3.0000,20.4592,0.0995,22.1297,0.3227,14.9991,0.1546,EB
3.5000,23.9238,0.1210,22.3100,0.3189,16.8038,0.1622,EB
4.0000,27.4005,0.1300,23.2192,0.3339,18.9436,0.1766,EB
4.5000,30.9153,0.1486,23.5614,0.3470,21.1212,0.2135,EB
5.0000,33.9538,0.1665,24.1408,0.3423,22.4109,0.2135,EB
5.5000,36.7637,0.1689,24.1809,0.3524,25.1681,0.2353,Pooled
6.0000,39.2704,0.1837,25.1174,0.3671,26.7898,0.2569,Pooled
6.5000,42.1565,0.1972,25.2558,0.3797,28.2406,0.2769,Pooled
7.0000,44.0196,0.2051,26.2366,0.4115,30.1015,0.2925,Pooled
7.5000,46.3161,0.2114,27.5896,0.4638,32.0807,0.3147,Pooled
8.0000,47.7747,0.2342,26.5388,0.4212,33.1735,0.3293,Pooled
8.5000,49.6747,0.2404,28.5902,0.4753,34.2084,0.3208,Pooled
9.0000,51.6387,0.2417,28.6230,0.4553,36.1359,0.3431,Pooled
9.5000,52.6299,0.2555,29.3990,0.5128,37.7367,0.3424,Pooled
10.0000,54.2286,0.2403,30.8382,0.5052,38.2037,0.3291,Pooled
