scenario,time,unpooled_ts_mean_regret,pooled_ts_mean_regret,eb_ts_mean_regret
original,1,0.35522074,0.35617398,0.35522074
original,2,0.31165201,0.28316901,0.21867178
original,3,0.27973324,0.22754718,0.20301303
original,4,0.25390637,0.22032233,0.22465273
original,5,0.23680027,0.23393662,0.25619032
original,6,0.22509586,0.24674734,0.28681768
original,7,0.21227718,0.25970966,0.31605753
original,8,0.20546499,0.27120043,0.34267723
original,9,0.19557995,0.28396423,0.36377506
original,10,0.18957604,0.29965043,0.38493719
original,11,0.18475198,0.31020351,0.39917787
original,12,0.17694154,0.31608024,0.41135639
original,13,0.17302333,0.32159200,0.42305979
original,14,0.16800012,0.32480779,0.43102494
original,15,0.16109602,0.32520069,0.43771081
original,16,0.15856351,0.33189665,0.44232639
original,17,0.15229013,0.33602247,0.44856744
original,18,0.14946696,0.33426867,0.45310352
original,19,0.14125827,0.33381205,0.45349529
original,20,0.13798406,0.33208151,0.45633755
original,21,0.13655982,0.33380544,0.45635558
original,22,0.13282767,0.33502334,0.45836900
original,23,0.13050662,0.33432560,0.45874999
original,24,0.12500388,0.33565602,0.45949096
original,25,0.12247121,0.33596071,0.46061671
original,26,0.11898340,0.33723176,0.46154163
original,27,0.11766918,0.33576041,0.46074243
original,28,0.11745073,0.33582241,0.46084152
original,29,0.11174955,0.33290550,0.46109358
original,30,0.11367965,0.33384567,0.46239274
original,31,0.10646450,0.33332385,0.46257356
original,32,0.10412730,0.33534579,0.46333598
original,33,0.10215617,0.33407957,0.46550406
original,34,0.09936805,0.33401455,0.46664601
original,35,0.09582920,0.33820903,0.46519803
original,36,0.09471827,0.33429159,0.46637735
original,37,0.09294373,0.33574389,0.46468681
original,38,0.09021528,0.33412036,0.46255921
original,39,0.09135229,0.33237544,0.46180753
original,40,0.09172990,0.33425710,0.46303366
original,41,0.08859740,0.33026897,0.46274188
original,42,0.08585595,0.33169342,0.46144112
original,43,0.08668448,0.33476792,0.46243982
original,44,0.08572826,0.32873249,0.45887053
original,45,0.08260499,0.33214459,0.45925826
original,46,0.08091373,0.33534542,0.46264700
original,47,0.08155659,0.33566593,0.46455253
original,48,0.07830446,0.33157212,0.46696589
original,49,0.07855169,0.33096173,0.46619540
original,50,0.07551686,0.33097514,0.46706075
original,51,0.07726084,0.33141296,0.46819321
original,52,0.07470684,0.33499396,0.46598517
original,53,0.07471466,0.33180817,0.46625022
original,54,0.07192330,0.33258112,0.46896688
original,55,0.07171845,0.33012195,0.46805699
original,56,0.07055265,0.33319383,0.46611981
original,57,0.06927909,0.32958043,0.46417599
original,58,0.06949634,0.32821846,0.46294914
original,59,0.06778292,0.32962588,0.46111705
original,60,0.06911620,0.32649076,0.45829870
original,61,0.06615077,0.32175753,0.45901877
original,62,0.06615792,0.32851190,0.45978477
original,63,0.06571065,0.32756589,0.46143447
original,64,0.06289684,0.32852196,0.46086754
original,65,0.06172647,0.32365020,0.46183615
original,66,0.06323909,0.32616136,0.46256775
original,67,0.06339782,0.32717590,0.46161728
original,68,0.06077925,0.32683926,0.45981015
original,69,0.06019601,0.32484633,0.46105511
original,70,0.05908773,0.32603788,0.45947973
original,71,0.05965897,0.32129439,0.46110472
original,72,0.05758716,0.32435892,0.46355668
original,73,0.06015561,0.32383354,0.46402917
original,74,0.05752953,0.32379186,0.46544509
original,75,0.05816489,0.32069108,0.46440399
original,76,0.05663820,0.32467803,0.46312176
original,77,0.05712946,0.32112273,0.45834682
original,78,0.05524270,0.31952628,0.45940880
original,79,0.05577724,0.32417396,0.46208114
original,80,0.05426774,0.31995982,0.46426495
original,81,0.05412404,0.31980339,0.46249835
original,82,0.05387459,0.32350936,0.46266496
original,83,0.05229634,0.31890767,0.46059909
original,84,0.05268267,0.32479557,0.45911840
original,85,0.05251543,0.32404858,0.45984757
original,86,0.05105075,0.32226143,0.45919204
original,87,0.04995666,0.32055545,0.46018210
original,88,0.04925162,0.31772190,0.46091756
original,89,0.05066055,0.32128601,0.46057046
original,90,0.04955190,0.32126854,0.46216693
original,91,0.04935229,0.32409845,0.46243028
original,92,0.04874099,0.32318063,0.46140759
original,93,0.04731785,0.32267250,0.46164403
original,94,0.04805654,0.31830696,0.46271080
original,95,0.04778245,0.31966553,0.46350966
original,96,0.04786475,0.31965813,0.46407662
original,97,0.04648341,0.32194389,0.46345653
original,98,0.04621709,0.31974748,0.46055407
original,99,0.04483618,0.32089252,0.46267297
original,100,0.04629770,0.31883186,0.46189440
low_hetero_short_noisy,1,0.26068523,0.25897301,0.26068523
low_hetero_short_noisy,2,0.23272255,0.17502677,0.12387949
low_hetero_short_noisy,3,0.21085528,0.11070765,0.08290820
low_hetero_short_noisy,4,0.19255866,0.08223235,0.07764491
low_hetero_short_noisy,5,0.18186682,0.07800827,0.08066030
low_hetero_short_noisy,6,0.17689104,0.07763081,0.08685947
low_hetero_short_noisy,7,0.17063871,0.07694314,0.09435816
low_hetero_short_noisy,8,0.16895096,0.08056431,0.10333858
low_hetero_short_noisy,9,0.16843529,0.07770825,0.11123118
low_hetero_short_noisy,10,0.16455757,0.08399399,0.11941323
low_hetero_short_noisy,11,0.16547092,0.08227133,0.12507716
low_hetero_short_noisy,12,0.16280759,0.08409882,0.13046399
low_hetero_short_noisy,13,0.16416948,0.08524117,0.13601156
low_hetero_short_noisy,14,0.16370739,0.08657604,0.13947163
low_hetero_short_noisy,15,0.16137160,0.08659438,0.14219815
low_hetero_short_noisy,16,0.16172291,0.08821394,0.14444358
low_hetero_short_noisy,17,0.16046407,0.08749909,0.14734813
low_hetero_short_noisy,18,0.16048162,0.08731167,0.14944069
low_hetero_short_noisy,19,0.15797037,0.08566257,0.14933581
low_hetero_short_noisy,20,0.15752752,0.08416387,0.15068440
low_hetero_short_noisy,21,0.15637898,0.08536260,0.15169800
low_hetero_short_noisy,22,0.15564997,0.08592752,0.15263199
low_hetero_short_noisy,23,0.15442042,0.08336273,0.15286331
low_hetero_short_noisy,24,0.15293866,0.08277274,0.15379748
low_hetero_short_noisy,25,0.15128425,0.08238237,0.15453316
low_hetero_short_noisy,26,0.15193824,0.08179792,0.15505239
low_hetero_short_noisy,27,0.15165974,0.08190999,0.15465385
low_hetero_short_noisy,28,0.15051533,0.08126296,0.15441189
low_hetero_short_noisy,29,0.14964799,0.07754137,0.15483167
low_hetero_short_noisy,30,0.15022058,0.07984532,0.15602424
low_hetero_short_noisy,31,0.14731759,0.07865496,0.15578639
low_hetero_short_noisy,32,0.14461002,0.08007939,0.15593987
low_hetero_short_noisy,33,0.14381595,0.07956582,0.15702307
low_hetero_short_noisy,34,0.14284689,0.07849979,0.15766221
low_hetero_short_noisy,35,0.14111388,0.07890283,0.15737461
low_hetero_short_noisy,36,0.14058098,0.07890304,0.15772224
low_hetero_short_noisy,37,0.13941083,0.07681042,0.15736548
low_hetero_short_noisy,38,0.13824629,0.07712316,0.15633299
low_hetero_short_noisy,39,0.13891770,0.07842095,0.15628618
low_hetero_short_noisy,40,0.13838897,0.07811731,0.15675080
high_hetero_long_low_noise,1,0.53274352,0.53662870,0.53274352
high_hetero_long_low_noise,2,0.44080311,0.46130605,0.39341609
high_hetero_long_low_noise,3,0.37088785,0.41227946,0.39659075
high_hetero_long_low_noise,4,0.31554921,0.42628974,0.44170575
high_hetero_long_low_noise,5,0.28275580,0.44520251,0.48964756
high_hetero_long_low_noise,6,0.26189005,0.47074846,0.53760735
high_hetero_long_low_noise,7,0.23298273,0.49151078,0.58231338
high_hetero_long_low_noise,8,0.21834433,0.50650461,0.62068970
high_hetero_long_low_noise,9,0.19833839,0.53043030,0.64335150
high_hetero_long_low_noise,10,0.18569903,0.55098891,0.66528846
high_hetero_long_low_noise,11,0.18010995,0.56335725,0.67060860
high_hetero_long_low_noise,12,0.16510653,0.57102795,0.66736129
high_hetero_long_low_noise,13,0.15550590,0.58054013,0.66062128
high_hetero_long_low_noise,14,0.14757963,0.58754923,0.64841962
high_hetero_long_low_noise,15,0.14291245,0.59115288,0.63613771
high_hetero_long_low_noise,16,0.13504255,0.60166394,0.61646547
high_hetero_long_low_noise,17,0.13076608,0.61186444,0.60681829
high_hetero_long_low_noise,18,0.12015910,0.60389904,0.59281587
high_hetero_long_low_noise,19,0.11543257,0.60757020,0.57659241
high_hetero_long_low_noise,20,0.10913984,0.60880161,0.56017413
high_hetero_long_low_noise,21,0.10749645,0.60630267,0.54406822
high_hetero_long_low_noise,22,0.10289133,0.60673359,0.53730801
high_hetero_long_low_noise,23,0.10239568,0.61403846,0.52879867
high_hetero_long_low_noise,24,0.09419710,0.61732984,0.51737926
high_hetero_long_low_noise,25,0.09402235,0.61284836,0.50834319
high_hetero_long_low_noise,26,0.09001436,0.61119657,0.50091184
high_hetero_long_low_noise,27,0.08490629,0.61540677,0.48456437
high_hetero_long_low_noise,28,0.08463836,0.61581620,0.47292175
high_hetero_long_low_noise,29,0.08299038,0.61985060,0.46118599
high_hetero_long_low_noise,30,0.07988000,0.61629376,0.44976195
high_hetero_long_low_noise,31,0.07700259,0.61547321,0.44037889
high_hetero_long_low_noise,32,0.07410379,0.61396769,0.42884457
high_hetero_long_low_noise,33,0.07308116,0.61304041,0.42253430
high_hetero_long_low_noise,34,0.06858845,0.61115029,0.41518235
high_hetero_long_low_noise,35,0.07070616,0.61974903,0.40864302
high_hetero_long_low_noise,36,0.06822254,0.61989415,0.40238124
high_hetero_long_low_noise,37,0.06379251,0.61968768,0.38874580
high_hetero_long_low_noise,38,0.06246148,0.61907760,0.37953580
high_hetero_long_low_noise,39,0.06481593,0.61966395,0.37155454
high_hetero_long_low_noise,40,0.06276115,0.61904139,0.36913765
high_hetero_long_low_noise,41,0.06157945,0.61388042,0.35972562
high_hetero_long_low_noise,42,0.05915459,0.61183803,0.35569687
high_hetero_long_low_noise,43,0.05788763,0.61752017,0.34558752
high_hetero_long_low_noise,44,0.05714079,0.60532253,0.34105991
high_hetero_long_low_noise,45,0.05750032,0.61023487,0.33205792
high_hetero_long_low_noise,46,0.05559813,0.61351623,0.32708433
high_hetero_long_low_noise,47,0.05452841,0.61697926,0.32368624
high_hetero_long_low_noise,48,0.05138952,0.61188526,0.32001295
high_hetero_long_low_noise,49,0.05305072,0.61013498,0.31429915
high_hetero_long_low_noise,50,0.05212644,0.61227381,0.31201255
high_hetero_long_low_noise,51,0.05041431,0.61722077,0.30884828
high_hetero_long_low_noise,52,0.04762364,0.61778092,0.30245998
high_hetero_long_low_noise,53,0.05063516,0.61849716,0.29954557
high_hetero_long_low_noise,54,0.04806690,0.61365324,0.29869823
high_hetero_long_low_noise,55,0.04631587,0.61099804,0.29528965
high_hetero_long_low_noise,56,0.04524153,0.61694085,0.28717025
high_hetero_long_low_noise,57,0.04730752,0.61475752,0.28574919
high_hetero_long_low_noise,58,0.04603126,0.60828778,0.28405529
high_hetero_long_low_noise,59,0.04599654,0.61099290,0.27912917
high_hetero_long_low_noise,60,0.04529899,0.60681213,0.27854251
high_hetero_long_low_noise,61,0.04254993,0.61082870,0.27521311
high_hetero_long_low_noise,62,0.04136173,0.61136909,0.27218289
high_hetero_long_low_noise,63,0.04191138,0.60703097,0.26951445
high_hetero_long_low_noise,64,0.03994634,0.60752801,0.26636118
high_hetero_long_low_noise,65,0.04014354,0.61116129,0.26610562
high_hetero_long_low_noise,66,0.04067637,0.61076186,0.26426156
high_hetero_long_low_noise,67,0.03883757,0.60975334,0.25947512
high_hetero_long_low_noise,68,0.03768406,0.61113908,0.25887057
high_hetero_long_low_noise,69,0.04073333,0.61085458,0.25587453
high_hetero_long_low_noise,70,0.03812602,0.61293319,0.25112433
high_hetero_long_low_noise,71,0.03885076,0.60622130,0.25252224
high_hetero_long_low_noise,72,0.03677637,0.60524120,0.24791313
high_hetero_long_low_noise,73,0.03820628,0.61046447,0.24636635
high_hetero_long_low_noise,74,0.03730839,0.61073706,0.24074379
high_hetero_long_low_noise,75,0.03680254,0.60386738,0.24037367
high_hetero_long_low_noise,76,0.03661778,0.60406966,0.23697826
high_hetero_long_low_noise,77,0.03803805,0.60303719,0.23315343
high_hetero_long_low_noise,78,0.03519382,0.59948089,0.22812673
high_hetero_long_low_noise,79,0.03451222,0.60868783,0.22811196
high_hetero_long_low_noise,80,0.03475245,0.60377304,0.22850121
high_hetero_long_low_noise,81,0.03553143,0.60245299,0.22558622
high_hetero_long_low_noise,82,0.03577746,0.60947692,0.22395456
high_hetero_long_low_noise,83,0.03233398,0.60183405,0.21854537
high_hetero_long_low_noise,84,0.03260147,0.61196791,0.21579865
high_hetero_long_low_noise,85,0.03280912,0.60312606,0.21294456
high_hetero_long_low_noise,86,0.03191532,0.60046909,0.21430824
high_hetero_long_low_noise,87,0.03166144,0.60335009,0.20848913
high_hetero_long_low_noise,88,0.03134599,0.60113469,0.20885022
