decision_time,true_result,sim_1,sim_2,sim_3,sim_4,sim_5
2023-10-31 04:00:00,"(True, 10.24)","(True, 7.48)","(True, 8.58)","(True, 8.17)","(True, 8.67)","(True, 8.58)"
2023-10-31 16:00:00,"(True, 7.32)","(True, 7.83)","(False, 12.0)","(False, 12.0)","(False, 12.0)","(True, 6.86)"
2023-11-01 04:00:00,"(True, 8.62)","(True, 8.62)","(True, 9.36)","(True, 8.58)","(True, 9.52)","(False, 12.0)"
2023-11-01 16:00:00,"(True, 7.24)","(True, 7.09)","(True, 8.18)","(True, 8.36)","(True, 6.93)","(True, 8.89)"
2023-11-02 04:00:00,"(True, 9.54)","(True, 0.07)","(True, 9.43)","(True, 8.17)","(True, 8.58)","(True, 7.83)"
2023-11-02 16:00:00,"(True, 7.81)","(True, 9.04)","(True, 6.81)","(True, 6.79)","(True, 7.75)","(False, 12.0)"
2023-11-03 04:00:00,"(True, 11.95)","(True, 10.14)","(True, 7.82)","(True, 7.76)","(True, 9.47)","(True, 10.64)"
2023-11-03 16:00:00,"(False, 12.0)","(True, 7.74)","(True, 8.33)","(True, 3.76)","(False, 12.0)","(True, 7.75)"
2023-11-04 04:00:00,"(False, 12.0)","(True, 5.75)","(True, 8.19)","(True, 7.64)","(True, 9.82)","(True, 8.47)"
2023-11-04 16:00:00,"(True, 7.01)","(True, 7.66)","(True, 7.01)","(True, 6.74)","(True, 8.16)","(True, 9.46)"
2023-11-05 04:00:00,"(True, 10.98)","(True, 11.37)","(True, 7.81)","(True, 6.91)","(True, 9.51)","(True, 8.65)"
2023-11-05 16:00:00,"(True, 6.36)","(True, 9.34)","(True, 8.17)","(True, 8.59)","(False, 12.0)","(True, 9.31)"
2023-11-06 04:00:00,"(True, 7.83)","(True, 10.61)","(True, 9.44)","(True, 7.81)","(False, 12.0)","(True, 8.64)"
2023-11-06 16:00:00,"(True, 6.82)","(True, 7.79)","(False, 12.0)","(True, 10.13)","(False, 12.0)","(True, 6.76)"
2023-11-07 04:00:00,"(True, 8.19)","(True, 8.67)","(True, 8.59)","(True, 6.77)","(True, 9.36)","(True, 1.04)"
2023-11-07 16:00:00,"(True, 6.98)","(True, 5.76)","(True, 5.75)","(True, 8.18)","(True, 9.45)","(False, 12.0)"
2023-11-08 04:00:00,"(True, 8.67)","(True, 9.75)","(True, 8.36)","(True, 7.01)","(True, 10.69)","(True, 9.34)"
2023-11-08 16:00:00,"(True, 6.53)","(True, 8.38)","(True, 7.81)","(True, 10.69)","(False, 12.0)","(True, 8.05)"
2023-11-09 04:00:00,"(True, 9.63)","(True, 7.62)","(True, 8.66)","(True, 6.81)","(True, 7.71)","(True, 7.23)"
2023-11-09 16:00:00,"(True, 8.3)","(True, 7.79)","(True, 5.76)","(True, 8.39)","(True, 8.66)","(False, 12.0)"
2023-11-10 04:00:00,"(True, 9.68)","(True, 8.61)","(True, 7.02)","(True, 7.41)","(True, 11.48)","(True, 10.61)"
2023-11-10 16:00:00,"(True, 7.53)","(True, 4.49)","(False, 12.0)","(True, 9.03)","(True, 10.25)","(True, 6.78)"
2023-11-11 04:00:00,"(False, 12.0)","(True, 9.42)","(True, 1.49)","(True, 5.77)","(False, 12.0)","(True, 11.81)"
2023-11-11 16:00:00,"(True, 8.15)","(True, 8.04)","(True, 10.59)","(True, 10.61)","(True, 6.79)","(True, 8.1)"
2023-11-12 04:00:00,"(True, 10.31)","(True, 5.77)","(True, 5.75)","(True, 8.52)","(True, 8.33)","(True, 6.87)"
2023-11-12 16:00:00,"(True, 6.24)","(True, 8.39)","(False, 12.0)","(True, 10.2)","(False, 12.0)","(True, 6.27)"
2023-11-13 04:00:00,"(True, 7.54)","(True, 7.6)","(True, 6.79)","(True, 5.76)","(False, 12.0)","(False, 12.0)"
2023-11-13 16:00:00,"(True, 7.02)","(True, 7.24)","(False, 12.0)","(True, 10.07)","(True, 5.77)","(True, 8.33)"
2023-11-14 04:00:00,"(True, 10.7)","(True, 8.18)","(True, 9.31)","(True, 5.75)","(True, 10.26)","(True, 8.16)"
2023-11-14 16:00:00,"(True, 5.74)","(True, 6.28)","(True, 5.75)","(True, 7.48)","(False, 12.0)","(True, 6.78)"
2023-11-15 04:00:00,"(True, 9.35)","(True, 6.82)","(True, 8.38)","(True, 7.68)","(True, 9.3)","(True, 10.26)"
2023-11-15 16:00:00,"(True, 8.41)","(True, 8.37)","(True, 10.14)","(True, 6.77)","(True, 1.66)","(True, 5.96)"
2023-11-16 04:00:00,"(True, 9.04)","(True, 8.17)","(True, 7.77)","(True, 8.3)","(False, 12.0)","(True, 11.76)"
2023-11-16 16:00:00,"(True, 7.61)","(True, 7.79)","(True, 8.04)","(True, 7.26)","(False, 12.0)","(True, 2.87)"
2023-11-17 04:00:00,"(True, 7.73)","(True, 10.6)","(True, 6.76)","(False, 12.0)","(True, 10.14)","(True, 8.35)"
2023-11-17 16:00:00,"(True, 5.77)","(False, 12.0)","(True, 6.51)","(True, 9.86)","(True, 6.16)","(True, 8.16)"
2023-11-18 04:00:00,"(False, 12.0)","(True, 7.0)","(True, 9.27)","(True, 6.81)","(False, 12.0)","(True, 10.13)"
2023-11-18 16:00:00,"(True, 7.79)","(True, 7.26)","(True, 10.19)","(True, 7.66)","(True, 8.34)","(True, 8.33)"
2023-11-19 04:00:00,"(True, 10.27)","(True, 6.82)","(True, 8.54)","(True, 6.53)","(True, 7.48)","(True, 10.59)"
2023-11-19 16:00:00,"(True, 7.27)","(False, 12.0)","(True, 7.82)","(True, 9.3)","(True, 7.27)","(True, 6.01)"
2023-11-20 04:00:00,"(False, 12.0)","(False, 12.0)","(False, 12.0)","(True, 7.56)","(False, 12.0)","(False, 12.0)"
2023-11-20 16:00:00,"(False, 12.0)","(False, 12.0)","(False, 12.0)","(True, 8.49)","(False, 12.0)","(True, 4.51)"
2023-11-21 04:00:00,"(False, 12.0)","(False, 12.0)","(False, 12.0)","(False, 12.0)","(False, 12.0)","(False, 12.0)"
2023-11-21 16:00:00,"(False, 12.0)","(True, 9.36)","(False, 12.0)","(True, 9.35)","(False, 12.0)","(True, 8.16)"
