decision_time,true_result,sim_1,sim_2,sim_3,sim_4,sim_5
2024-01-07 04:00:00,"(False, 12.0)","(False, 12.0)","(False, 12.0)","(True, 7.26)","(False, 12.0)","(False, 12.0)"
2024-01-07 16:00:00,"(False, 12.0)","(True, 9.12)","(True, 9.15)","(True, 9.23)","(False, 12.0)","(True, 8.93)"
2024-01-08 04:00:00,"(True, 7.26)","(False, 12.0)","(True, 9.19)","(False, 12.0)","(True, 7.25)","(True, 8.15)"
2024-01-08 16:00:00,"(True, 9.23)","(True, 5.97)","(True, 9.38)","(True, 7.49)","(True, 5.87)","(True, 9.14)"
2024-01-09 04:00:00,"(False, 12.0)","(True, 9.42)","(True, 3.67)","(True, 9.49)","(True, 5.75)","(False, 12.0)"
2024-01-09 16:00:00,"(True, 7.5)","(False, 12.0)","(True, 8.31)","(True, 8.38)","(False, 12.0)","(False, 12.0)"
2024-01-10 04:00:00,"(False, 12.0)","(True, 5.77)","(True, 7.62)","(True, 9.48)","(False, 12.0)","(True, 8.49)"
2024-01-10 16:00:00,"(True, 8.18)","(True, 6.72)","(True, 9.48)","(False, 12.0)","(True, 7.25)","(True, 7.92)"
2024-01-11 04:00:00,"(False, 12.0)","(True, 7.25)","(True, 4.07)","(False, 12.0)","(False, 12.0)","(True, 5.93)"
2024-01-11 16:00:00,"(True, 0.62)","(True, 8.92)","(True, 6.66)","(True, 5.63)","(True, 5.78)","(False, 12.0)"
2024-01-12 04:00:00,"(False, 12.0)","(True, 8.79)","(True, 7.54)","(False, 12.0)","(False, 12.0)","(True, 9.24)"
2024-01-12 16:00:00,"(True, 0.08)","(True, 9.54)","(True, 9.61)","(True, 7.67)","(True, 8.81)","(False, 12.0)"
2024-01-13 04:00:00,"(False, 12.0)","(True, 9.44)","(True, 8.3)","(True, 8.9)","(False, 12.0)","(True, 7.95)"
2024-01-13 16:00:00,"(True, 0.36)","(True, 9.21)","(True, 6.93)","(False, 12.0)","(False, 12.0)","(False, 12.0)"
2024-01-14 04:00:00,"(True, 8.83)","(True, 9.23)","(False, 12.0)","(False, 12.0)","(True, 2.17)","(True, 3.63)"
2024-01-14 16:00:00,"(False, 12.0)","(True, 9.24)","(True, 5.52)","(True, 0.62)","(True, 7.04)","(True, 6.87)"
2024-01-15 04:00:00,"(True, 8.63)","(False, 12.0)","(False, 12.0)","(True, 8.47)","(False, 12.0)","(True, 9.26)"
2024-01-15 16:00:00,"(False, 12.0)","(False, 12.0)","(True, 7.62)","(True, 0.27)","(True, 8.19)","(True, 9.49)"
2024-01-16 04:00:00,"(True, 7.95)","(False, 12.0)","(False, 12.0)","(True, 8.2)","(False, 12.0)","(True, 7.95)"
2024-01-16 16:00:00,"(False, 12.0)","(True, 7.67)","(True, 7.49)","(False, 12.0)","(True, 7.05)","(True, 8.9)"
2024-01-17 04:00:00,"(True, 6.45)","(False, 12.0)","(True, 8.96)","(True, 6.88)","(False, 12.0)","(True, 9.23)"
2024-01-17 16:00:00,"(True, 6.23)","(False, 12.0)","(True, 7.59)","(True, 9.0)","(True, 9.15)","(True, 7.71)"
2024-01-18 04:00:00,"(False, 12.0)","(True, 0.11)","(True, 8.91)","(True, 6.89)","(True, 6.73)","(False, 12.0)"
2024-01-18 16:00:00,"(True, 6.88)","(True, 7.71)","(False, 12.0)","(False, 12.0)","(False, 12.0)","(True, 8.61)"
2024-01-19 04:00:00,"(True, 8.06)","(False, 12.0)","(True, 6.77)","(True, 4.75)","(True, 6.88)","(False, 12.0)"
2024-01-19 16:00:00,"(True, 8.92)","(True, 8.29)","(True, 8.2)","(True, 9.4)","(True, 6.88)","(True, 7.06)"
2024-01-20 04:00:00,"(True, 6.86)","(True, 7.5)","(False, 12.0)","(False, 12.0)","(False, 12.0)","(True, 8.94)"
2024-01-20 16:00:00,"(False, 12.0)","(True, 5.57)","(True, 1.11)","(True, 5.75)","(True, 8.38)","(False, 12.0)"
2024-01-21 04:00:00,"(True, 8.94)","(False, 12.0)","(True, 5.51)","(True, 1.06)","(True, 7.94)","(False, 12.0)"
2024-01-21 16:00:00,"(True, 8.9)","(False, 12.0)","(True, 7.58)","(False, 12.0)","(True, 8.89)","(False, 12.0)"
2024-01-22 04:00:00,"(True, 10.16)","(False, 12.0)","(False, 12.0)","(False, 12.0)","(True, 9.49)","(True, 7.49)"
2024-01-22 16:00:00,"(False, 12.0)","(True, 7.65)","(False, 12.0)","(True, 6.88)","(True, 8.35)","(True, 7.48)"
2024-01-23 04:00:00,"(True, 10.92)","(False, 12.0)","(False, 12.0)","(False, 12.0)","(True, 7.77)","(False, 12.0)"
2024-01-23 16:00:00,"(True, 9.29)","(True, 8.19)","(False, 12.0)","(True, 7.61)","(False, 12.0)","(False, 12.0)"
2024-01-25 04:00:00,"(True, 9.26)","(False, 12.0)","(True, 8.38)","(True, 9.04)","(True, 9.5)","(True, 4.53)"
2024-01-25 16:00:00,"(True, 5.82)","(True, 9.44)","(True, 6.88)","(False, 12.0)","(True, 7.58)","(False, 12.0)"
2024-01-26 04:00:00,"(False, 12.0)","(True, 5.66)","(True, 6.88)","(True, 8.19)","(True, 6.72)","(True, 7.26)"
2024-01-26 16:00:00,"(False, 12.0)","(False, 12.0)","(False, 12.0)","(False, 12.0)","(True, 8.91)","(False, 12.0)"
2024-01-27 04:00:00,"(False, 12.0)","(False, 12.0)","(False, 12.0)","(False, 12.0)","(True, 6.72)","(False, 12.0)"
2024-01-27 16:00:00,"(False, 12.0)","(True, 9.14)","(False, 12.0)","(False, 12.0)","(True, 8.15)","(True, 9.43)"
2024-01-28 04:00:00,"(False, 12.0)","(False, 12.0)","(True, 9.38)","(True, 9.22)","(True, 7.17)","(False, 12.0)"
2024-01-28 16:00:00,"(False, 12.0)","(False, 12.0)","(False, 12.0)","(True, 8.01)","(False, 12.0)","(False, 12.0)"
2024-01-29 04:00:00,"(False, 12.0)","(False, 12.0)","(False, 12.0)","(True, 8.69)","(False, 12.0)","(True, 9.48)"
2024-01-29 16:00:00,"(False, 12.0)","(True, 6.73)","(False, 12.0)","(False, 12.0)","(True, 8.59)","(True, 8.52)"
2024-01-30 04:00:00,"(False, 12.0)","(True, 8.92)","(True, 7.77)","(False, 12.0)","(False, 12.0)","(False, 12.0)"
2024-01-30 16:00:00,"(False, 12.0)","(True, 6.89)","(True, 0.35)","(True, 1.3)","(True, 7.73)","(True, 6.73)"
2024-01-31 04:00:00,"(False, 12.0)","(True, 1.65)","(True, 9.0)","(True, 7.29)","(True, 6.73)","(True, 7.74)"
2024-01-31 16:00:00,"(False, 12.0)","(True, 5.4)","(True, 7.63)","(True, 0.1)","(True, 8.39)","(True, 9.11)"
2024-02-01 04:00:00,"(False, 12.0)","(True, 8.38)","(True, 7.15)","(True, 6.73)","(True, 6.89)","(False, 12.0)"
2024-02-01 16:00:00,"(True, 1.07)","(False, 12.0)","(True, 0.51)","(True, 8.4)","(True, 0.95)","(True, 8.29)"
2024-02-02 04:00:00,"(True, 6.74)","(True, 8.62)","(False, 12.0)","(True, 8.09)","(False, 12.0)","(False, 12.0)"
2024-02-02 16:00:00,"(True, 9.47)","(False, 12.0)","(True, 7.97)","(True, 2.26)","(True, 3.24)","(True, 4.22)"
2024-02-03 04:00:00,"(True, 9.12)","(True, 8.23)","(False, 12.0)","(True, 4.58)","(False, 12.0)","(True, 7.13)"
2024-02-03 16:00:00,"(True, 8.37)","(True, 8.67)","(True, 8.39)","(True, 9.36)","(True, 9.11)","(False, 12.0)"
2024-02-04 04:00:00,"(True, 8.77)","(False, 12.0)","(True, 7.49)","(False, 12.0)","(True, 8.19)","(True, 8.91)"
2024-02-04 16:00:00,"(True, 4.0)","(True, 7.97)","(True, 8.38)","(False, 12.0)","(True, 0.34)","(True, 7.49)"
2024-02-05 04:00:00,"(True, 8.91)","(True, 6.73)","(False, 12.0)","(True, 8.19)","(True, 9.1)","(True, 8.16)"
2024-02-05 16:00:00,"(True, 7.66)","(False, 12.0)","(True, 8.27)","(False, 12.0)","(True, 9.36)","(False, 12.0)"
2024-02-06 04:00:00,"(True, 8.18)","(False, 12.0)","(False, 12.0)","(True, 7.96)","(True, 8.19)","(False, 12.0)"
2024-02-06 16:00:00,"(True, 8.39)","(True, 7.52)","(True, 7.5)","(True, 8.38)","(True, 4.06)","(True, 8.68)"
2024-02-07 04:00:00,"(True, 7.59)","(False, 12.0)","(False, 12.0)","(False, 12.0)","(True, 4.45)","(False, 12.0)"
2024-02-07 16:00:00,"(False, 12.0)","(False, 12.0)","(False, 12.0)","(True, 2.9)","(True, 0.33)","(False, 12.0)"
2024-02-08 04:00:00,"(False, 12.0)","(False, 12.0)","(True, 5.51)","(True, 8.7)","(False, 12.0)","(True, 7.33)"
2024-02-08 16:00:00,"(False, 12.0)","(True, 0.44)","(True, 5.43)","(False, 12.0)","(True, 7.53)","(True, 6.74)"
2024-02-09 04:00:00,"(False, 12.0)","(False, 12.0)","(True, 8.37)","(True, 8.77)","(True, 9.05)","(False, 12.0)"
2024-02-09 16:00:00,"(False, 12.0)","(False, 12.0)","(False, 12.0)","(True, 7.43)","(True, 7.56)","(False, 12.0)"
2024-02-10 04:00:00,"(False, 12.0)","(True, 5.47)","(False, 12.0)","(True, 7.38)","(True, 3.21)","(True, 9.12)"
2024-02-10 16:00:00,"(False, 12.0)","(True, 5.49)","(True, 9.42)","(True, 8.73)","(False, 12.0)","(True, 0.44)"
2024-02-11 04:00:00,"(False, 12.0)","(True, 8.41)","(False, 12.0)","(False, 12.0)","(False, 12.0)","(True, 7.93)"
2024-02-11 16:00:00,"(False, 12.0)","(False, 12.0)","(True, 8.69)","(False, 12.0)","(True, 6.89)","(True, 6.88)"
2024-02-12 04:00:00,"(True, 7.89)","(True, 8.91)","(False, 12.0)","(False, 12.0)","(True, 5.5)","(True, 8.15)"
2024-02-12 16:00:00,"(True, 9.27)","(True, 9.48)","(False, 12.0)","(True, 8.9)","(True, 8.9)","(False, 12.0)"
2024-02-13 04:00:00,"(True, 9.5)","(True, 5.63)","(False, 12.0)","(False, 12.0)","(True, 6.86)","(True, 8.91)"
2024-02-13 16:00:00,"(True, 6.89)","(True, 1.11)","(True, 4.58)","(True, 7.65)","(True, 6.73)","(True, 8.39)"
2024-02-14 04:00:00,"(True, 7.88)","(False, 12.0)","(True, 3.3)","(True, 8.98)","(True, 9.47)","(True, 8.59)"
2024-02-14 16:00:00,"(True, 9.09)","(True, 6.73)","(False, 12.0)","(False, 12.0)","(True, 0.32)","(False, 12.0)"
2024-02-15 04:00:00,"(True, 6.72)","(False, 12.0)","(False, 12.0)","(True, 7.59)","(False, 12.0)","(True, 8.79)"
2024-02-15 16:00:00,"(True, 8.4)","(True, 9.06)","(False, 12.0)","(True, 6.88)","(False, 12.0)","(False, 12.0)"
2024-02-16 04:00:00,"(True, 7.67)","(True, 6.89)","(True, 8.66)","(True, 8.04)","(False, 12.0)","(True, 8.51)"
2024-02-16 16:00:00,"(True, 5.42)","(False, 12.0)","(True, 6.88)","(True, 8.17)","(False, 12.0)","(False, 12.0)"
2024-02-17 04:00:00,"(True, 7.25)","(False, 12.0)","(True, 7.57)","(True, 7.19)","(False, 12.0)","(True, 8.76)"
2024-02-17 16:00:00,"(False, 12.0)","(True, 8.07)","(False, 12.0)","(True, 5.66)","(True, 1.67)","(True, 9.29)"
2024-02-18 04:00:00,"(True, 8.2)","(True, 6.9)","(True, 5.46)","(False, 12.0)","(False, 12.0)","(True, 8.98)"
2024-02-18 16:00:00,"(True, 9.34)","(False, 12.0)","(True, 7.6)","(False, 12.0)","(True, 4.12)","(True, 8.2)"
2024-02-19 04:00:00,"(True, 7.47)","(False, 12.0)","(False, 12.0)","(True, 8.41)","(True, 7.38)","(True, 7.01)"
