decision_time,true_result,sim_1,sim_2,sim_3,sim_4,sim_5
2023-09-22 04:00:00,"(True, 0.89)","(True, 2.3)","(True, 2.87)","(True, 2.26)","(True, 1.31)","(True, 2.65)"
2023-09-22 16:00:00,"(False, 12.0)","(False, 12.0)","(True, 0.94)","(True, 0.9)","(True, 1.0)","(False, 12.0)"
2023-09-23 04:00:00,"(True, 10.96)","(True, 3.79)","(False, 12.0)","(True, 0.88)","(False, 12.0)","(True, 2.06)"
2023-09-23 16:00:00,"(False, 12.0)","(False, 12.0)","(True, 2.31)","(True, 2.74)","(True, 2.54)","(True, 2.3)"
2023-09-24 04:00:00,"(False, 12.0)","(False, 12.0)","(False, 12.0)","(False, 12.0)","(True, 1.34)","(True, 2.52)"
2023-09-24 16:00:00,"(True, 0.08)","(True, 2.77)","(True, 0.95)","(False, 12.0)","(True, 0.05)","(False, 12.0)"
2023-09-25 04:00:00,"(True, 2.64)","(False, 12.0)","(True, 1.9)","(False, 12.0)","(True, 2.42)","(True, 2.66)"
2023-09-25 16:00:00,"(True, 2.18)","(True, 1.78)","(True, 0.54)","(False, 12.0)","(True, 0.78)","(False, 12.0)"
2023-09-26 04:00:00,"(True, 1.03)","(False, 12.0)","(True, 1.28)","(True, 0.94)","(False, 12.0)","(True, 2.26)"
2023-09-26 16:00:00,"(True, 2.6)","(True, 0.76)","(True, 4.84)","(True, 0.91)","(True, 2.34)","(True, 0.77)"
2023-09-27 04:00:00,"(True, 0.84)","(True, 2.07)","(False, 12.0)","(True, 6.59)","(False, 12.0)","(True, 1.99)"
2023-09-27 16:00:00,"(True, 2.37)","(True, 5.6)","(True, 2.64)","(True, 2.11)","(False, 12.0)","(True, 0.93)"
2023-09-28 04:00:00,"(True, 2.88)","(False, 12.0)","(True, 0.97)","(True, 0.94)","(False, 12.0)","(True, 0.94)"
2023-09-28 16:00:00,"(True, 2.56)","(True, 1.38)","(True, 3.15)","(True, 2.34)","(True, 11.22)","(False, 12.0)"
2023-09-29 04:00:00,"(False, 12.0)","(True, 0.95)","(True, 1.12)","(False, 12.0)","(False, 12.0)","(True, 2.09)"
2023-09-29 16:00:00,"(False, 12.0)","(True, 0.85)","(True, 2.3)","(False, 12.0)","(True, 2.29)","(True, 2.75)"
2023-09-30 04:00:00,"(False, 12.0)","(False, 12.0)","(False, 12.0)","(True, 1.17)","(True, 2.65)","(True, 2.98)"
2023-09-30 16:00:00,"(False, 12.0)","(False, 12.0)","(True, 2.65)","(False, 12.0)","(False, 12.0)","(False, 12.0)"
2023-10-01 04:00:00,"(True, 5.52)","(False, 12.0)","(True, 1.37)","(True, 3.46)","(False, 12.0)","(False, 12.0)"
2023-10-01 16:00:00,"(True, 3.26)","(False, 12.0)","(True, 2.27)","(True, 2.76)","(False, 12.0)","(False, 12.0)"
2023-10-02 04:00:00,"(True, 0.8)","(True, 0.8)","(True, 1.98)","(True, 2.55)","(False, 12.0)","(True, 2.52)"
2023-10-02 16:00:00,"(True, 2.73)","(True, 2.67)","(False, 12.0)","(True, 2.52)","(False, 12.0)","(False, 12.0)"
2023-10-03 04:00:00,"(True, 1.0)","(False, 12.0)","(False, 12.0)","(False, 12.0)","(False, 12.0)","(False, 12.0)"
2023-10-03 16:00:00,"(True, 2.06)","(False, 12.0)","(True, 2.58)","(True, 0.89)","(False, 12.0)","(True, 2.9)"
2023-10-04 04:00:00,"(True, 0.97)","(False, 12.0)","(True, 2.19)","(False, 12.0)","(False, 12.0)","(False, 12.0)"
2023-10-04 16:00:00,"(True, 1.99)","(True, 2.52)","(True, 1.32)","(True, 0.05)","(False, 12.0)","(False, 12.0)"
2023-10-05 04:00:00,"(False, 12.0)","(True, 0.93)","(True, 1.32)","(False, 12.0)","(False, 12.0)","(True, 2.91)"
2023-10-05 16:00:00,"(True, 2.51)","(True, 1.95)","(True, 2.92)","(False, 12.0)","(False, 12.0)","(False, 12.0)"
2023-10-06 04:00:00,"(True, 0.77)","(False, 12.0)","(True, 2.04)","(True, 1.4)","(False, 12.0)","(True, 2.08)"
2023-10-06 16:00:00,"(False, 12.0)","(True, 0.14)","(True, 2.65)","(False, 12.0)","(True, 1.01)","(False, 12.0)"
2023-10-07 04:00:00,"(True, 6.76)","(True, 7.1)","(True, 2.25)","(True, 1.0)","(False, 12.0)","(True, 0.88)"
2023-10-07 16:00:00,"(False, 12.0)","(False, 12.0)","(True, 0.88)","(True, 2.86)","(True, 2.44)","(True, 2.93)"
2023-10-08 04:00:00,"(True, 7.05)","(True, 1.11)","(False, 12.0)","(True, 1.77)","(False, 12.0)","(False, 12.0)"
2023-10-08 16:00:00,"(False, 12.0)","(False, 12.0)","(False, 12.0)","(True, 2.82)","(False, 12.0)","(True, 10.98)"
2023-10-09 04:00:00,"(True, 0.83)","(True, 0.94)","(True, 0.93)","(True, 0.9)","(True, 6.04)","(False, 12.0)"
2023-10-09 16:00:00,"(True, 1.99)","(False, 12.0)","(True, 2.88)","(True, 6.29)","(True, 1.83)","(False, 12.0)"
2023-10-10 04:00:00,"(True, 0.82)","(True, 2.18)","(True, 2.05)","(True, 2.58)","(True, 1.08)","(True, 1.42)"
2023-10-10 16:00:00,"(True, 4.22)","(True, 2.92)","(True, 2.66)","(True, 1.31)","(True, 2.09)","(False, 12.0)"
2023-10-11 04:00:00,"(True, 0.88)","(True, 2.56)","(True, 0.85)","(True, 1.43)","(True, 0.77)","(True, 4.29)"
2023-10-11 16:00:00,"(True, 2.88)","(True, 2.22)","(True, 1.01)","(False, 12.0)","(True, 2.86)","(False, 12.0)"
2023-10-12 04:00:00,"(True, 0.94)","(True, 2.87)","(True, 0.88)","(False, 12.0)","(True, 1.4)","(False, 12.0)"
2023-10-12 16:00:00,"(True, 2.69)","(True, 2.29)","(True, 0.03)","(False, 12.0)","(True, 5.4)","(False, 12.0)"
2023-10-13 04:00:00,"(True, 0.95)","(False, 12.0)","(False, 12.0)","(True, 2.5)","(True, 1.03)","(False, 12.0)"
2023-10-13 16:00:00,"(False, 12.0)","(True, 0.8)","(True, 0.99)","(False, 12.0)","(False, 12.0)","(False, 12.0)"
2023-10-14 04:00:00,"(False, 12.0)","(False, 12.0)","(True, 2.56)","(False, 12.0)","(True, 2.34)","(False, 12.0)"
2023-10-14 16:00:00,"(True, 1.2)","(False, 12.0)","(False, 12.0)","(True, 2.32)","(False, 12.0)","(False, 12.0)"
2023-10-15 04:00:00,"(False, 12.0)","(True, 2.02)","(True, 2.3)","(False, 12.0)","(True, 6.06)","(False, 12.0)"
2023-10-15 16:00:00,"(True, 2.33)","(False, 12.0)","(True, 2.54)","(False, 12.0)","(False, 12.0)","(False, 12.0)"
2023-10-16 04:00:00,"(True, 2.04)","(True, 2.17)","(True, 2.17)","(False, 12.0)","(False, 12.0)","(True, 1.9)"
2023-10-16 16:00:00,"(False, 12.0)","(True, 0.83)","(False, 12.0)","(True, 10.98)","(True, 0.91)","(True, 1.02)"
2023-10-17 04:00:00,"(False, 12.0)","(True, 1.5)","(True, 9.33)","(False, 12.0)","(False, 12.0)","(True, 2.2)"
2023-10-17 16:00:00,"(False, 12.0)","(False, 12.0)","(True, 4.7)","(False, 12.0)","(True, 2.31)","(True, 3.06)"
2023-10-18 04:00:00,"(False, 12.0)","(True, 2.52)","(True, 2.31)","(True, 2.96)","(False, 12.0)","(True, 0.75)"
2023-10-18 16:00:00,"(False, 12.0)","(True, 2.27)","(True, 2.58)","(False, 12.0)","(True, 0.84)","(True, 2.56)"
2023-10-19 04:00:00,"(False, 12.0)","(True, 2.84)","(True, 1.38)","(True, 2.65)","(True, 6.53)","(False, 12.0)"
2023-10-19 16:00:00,"(True, 2.11)","(True, 0.97)","(True, 3.46)","(False, 12.0)","(False, 12.0)","(False, 12.0)"
2023-10-20 04:00:00,"(True, 0.83)","(True, 2.31)","(True, 5.4)","(False, 12.0)","(True, 1.92)","(True, 2.0)"
2023-10-20 16:00:00,"(False, 12.0)","(True, 0.07)","(False, 12.0)","(True, 1.21)","(True, 2.95)","(False, 12.0)"
2023-10-21 04:00:00,"(False, 12.0)","(True, 1.0)","(False, 12.0)","(True, 3.22)","(True, 6.16)","(False, 12.0)"
2023-10-21 16:00:00,"(False, 12.0)","(True, 2.35)","(True, 2.32)","(False, 12.0)","(False, 12.0)","(False, 12.0)"
2023-10-22 04:00:00,"(False, 12.0)","(True, 1.37)","(True, 1.48)","(False, 12.0)","(False, 12.0)","(True, 0.01)"
2023-10-22 16:00:00,"(True, 2.93)","(False, 12.0)","(False, 12.0)","(False, 12.0)","(True, 6.04)","(True, 2.72)"
2023-10-23 04:00:00,"(True, 2.05)","(False, 12.0)","(True, 2.69)","(True, 0.95)","(True, 1.39)","(True, 0.92)"
2023-10-23 16:00:00,"(True, 2.31)","(True, 0.77)","(False, 12.0)","(True, 2.28)","(True, 0.94)","(True, 2.64)"
2023-10-24 04:00:00,"(True, 0.9)","(True, 1.37)","(False, 12.0)","(True, 2.53)","(True, 0.95)","(False, 12.0)"
2023-10-24 16:00:00,"(True, 1.3)","(True, 0.87)","(False, 12.0)","(True, 2.68)","(True, 1.05)","(True, 0.82)"
