ratio,theta1_mu_context0,theta1_mu_context1,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,winner
1.0000,2.0000,2.0000,23.9419,0.4582,152.7747,1.1016,35.4780,0.6582,Unpooled
1.2500,2.0000,2.5000,21.5125,0.3679,147.9393,1.1875,30.2064,0.5004,Unpooled
1.5000,2.0000,3.0000,19.5319,0.4023,145.1462,1.2406,25.8321,0.5316,Unpooled
1.7500,2.0000,3.5000,16.5765,0.3199,143.5958,1.3619,21.5041,0.3927,Unpooled
2.0000,2.0000,4.0000,13.8972,0.2463,139.3888,1.3455,17.5129,0.3134,Unpooled
2.2500,2.0000,4.5000,12.1966,0.1830,139.0045,1.4064,15.6493,0.2589,Unpooled
2.5000,2.0000,5.0000,11.3444,0.1680,136.2925,1.4426,14.4094,0.2077,Unpooled
2.7500,2.0000,5.5000,10.7220,0.1528,135.5022,1.4563,13.3171,0.1849,Unpooled
3.0000,2.0000,6.0000,10.6295,0.1553,136.6093,1.4646,13.4257,0.2019,Unpooled
3.2500,2.0000,6.5000,10.4933,0.1692,135.0621,1.4206,13.3385,0.1976,Unpooled
3.5000,2.0000,7.0000,10.4163,0.1524,134.6557,1.5437,12.9503,0.1733,Unpooled
3.7500,2.0000,7.5000,10.3207,0.1602,136.2660,1.4014,12.9949,0.1790,Unpooled
4.0000,2.0000,8.0000,10.7171,0.2318,132.8265,1.4110,12.8302,0.1658,Unpooled
4.2500,2.0000,8.5000,10.5493,0.2007,134.4823,1.4602,12.9177,0.1691,Unpooled
4.5000,2.0000,9.0000,10.5637,0.2347,134.3802,1.5394,12.8386,0.1755,Unpooled
4.7500,2.0000,9.5000,11.3485,0.3258,134.0193,1.5247,12.8181,0.1702,Unpooled
5.0000,2.0000,10.0000,11.2097,0.2885,135.0429,1.5413,13.0462,0.1842,Unpooled
