t,mean_regret_thompson,mean_regret_pooled,mean_regret_eb
1,0.508128,0.503977,0.501435
2,0.872320,0.938039,0.800300
3,1.139383,1.331928,0.996831
4,1.341098,1.696673,1.140534
5,1.498540,2.019704,1.262461
6,1.626381,2.314425,1.371808
7,1.730309,2.590620,1.472636
8,1.821063,2.850556,1.566348
9,1.902340,3.104203,1.654866
10,1.974297,3.340672,1.739564
11,2.038980,3.578279,1.820547
12,2.098318,3.806249,1.897897
13,2.154218,4.036285,1.973157
14,2.206402,4.263776,2.044708
15,2.255003,4.482873,2.113951
16,2.301973,4.701178,2.181662
17,2.346141,4.918211,2.247643
18,2.388912,5.138126,2.312139
19,2.430107,5.351117,2.375802
20,2.469607,5.558712,2.437213
21,2.507941,5.770248,2.498003
22,2.545637,5.983100,2.557799
23,2.581803,6.193696,2.615656
24,2.616604,6.406741,2.671933
25,2.650028,6.615713,2.727260
26,2.683312,6.826573,2.781601
27,2.715837,7.032419,2.834921
28,2.747363,7.239223,2.887536
29,2.778177,7.446336,2.939614
30,2.808932,7.656784,2.991050
31,2.838997,7.868290,3.042110
32,2.869093,8.077853,3.092360
33,2.897975,8.288773,3.141778
34,2.926789,8.497963,3.190368
35,2.954451,8.704760,3.237983
36,2.982319,8.915364,3.285790
37,3.008724,9.122637,3.332996
38,3.035396,9.334616,3.379314
39,3.061383,9.541884,3.425175
40,3.087464,9.751698,3.470708
41,3.112996,9.959661,3.515888
42,3.138425,10.166674,3.560403
43,3.164347,10.377399,3.605139
44,3.189030,10.584662,3.649037
45,3.213737,10.790509,3.692688
46,3.238572,10.998884,3.735800
47,3.262846,11.206908,3.778378
48,3.286575,11.414072,3.821453
49,3.310200,11.622267,3.863257
50,3.333891,11.829253,3.904481
51,3.356913,12.037280,3.945786
52,3.379358,12.248548,3.986941
53,3.401735,12.457871,4.027393
54,3.424298,12.666351,4.067919
55,3.446128,12.872197,4.107325
56,3.467935,13.079140,4.147253
57,3.489497,13.288704,4.186385
58,3.510595,13.498190,4.225593
59,3.531792,13.705524,4.264342
60,3.552587,13.914947,4.303131
61,3.573006,14.122225,4.341140
62,3.593446,14.328072,4.379076
63,3.614128,14.537372,4.416592
64,3.634716,14.745194,4.453982
65,3.654826,14.951041,4.491582
66,3.674882,15.159196,4.528511
67,3.694390,15.365042,4.565515
68,3.714186,15.572223,4.601937
69,3.733696,15.782182,4.638508
70,3.753259,15.988028,4.674543
71,3.772691,16.193875,4.710314
72,3.792437,16.400981,4.746104
73,3.811245,16.608902,4.781448
