T,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,final_shrinkage,winner
1.0000,0.4761,0.0040,0.4769,0.0039,0.4827,0.0042,0.0000,Unpooled
2.0000,0.9617,0.0061,0.9422,0.0062,0.9488,0.0064,0.0000,Pooled
3.0000,1.4006,0.0080,1.3936,0.0083,1.3777,0.0079,0.1448,EB
4.0000,1.7947,0.0097,1.8209,0.0111,1.7222,0.0091,0.2500,EB
5.0000,2.1574,0.0104,2.2844,0.0134,1.9844,0.0097,0.4602,EB
6.0000,2.4354,0.0122,2.7331,0.0166,2.1944,0.0107,0.5841,EB
7.0000,2.6813,0.0127,3.1950,0.0185,2.3584,0.0117,0.6657,EB
8.0000,2.8964,0.0125,3.6260,0.0200,2.4976,0.0109,0.7175,EB
9.0000,3.0728,0.0145,4.0457,0.0245,2.6279,0.0126,0.7503,EB
10.0000,3.2024,0.0138,4.4889,0.0276,2.7070,0.0112,0.7770,EB
11.0000,3.3121,0.0150,4.8682,0.0311,2.8069,0.0114,0.7944,EB
12.0000,3.4028,0.0138,5.3020,0.0330,2.8960,0.0114,0.8090,EB
13.0000,3.5013,0.0161,5.7703,0.0338,2.9578,0.0113,0.8215,EB
14.0000,3.6152,0.0139,6.2344,0.0382,3.0643,0.0117,0.8305,EB
15.0000,3.6699,0.0164,6.6542,0.0405,3.1147,0.0120,0.8415,EB
16.0000,3.7549,0.0151,7.1003,0.0431,3.1816,0.0123,0.8477,EB
17.0000,3.8274,0.0153,7.6174,0.0479,3.2422,0.0114,0.8550,EB
18.0000,3.8726,0.0149,8.0691,0.0453,3.2970,0.0115,0.8599,EB
19.0000,3.9301,0.0154,8.3767,0.0528,3.3619,0.0113,0.8656,EB
20.0000,3.9535,0.0160,8.7762,0.0548,3.3676,0.0122,0.8686,EB
21.0000,4.0427,0.0163,9.1833,0.0580,3.4219,0.0124,0.8729,EB
22.0000,4.0738,0.0155,9.7297,0.0624,3.4956,0.0126,0.8777,EB
23.0000,4.1059,0.0159,10.0573,0.0655,3.5102,0.0119,0.8802,EB
24.0000,4.1241,0.0154,10.4959,0.0655,3.5652,0.0124,0.8832,EB
25.0000,4.1994,0.0154,11.0186,0.0686,3.6152,0.0124,0.8859,EB
