T,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,winner
1.0000,0.5198,0.0031,0.5182,0.0033,0.5250,0.0034,Pooled
11.0000,3.5356,0.0117,3.2627,0.0200,2.8101,0.0085,EB
21.0000,4.2217,0.0122,5.9769,0.0429,3.4072,0.0088,EB
31.0000,4.5951,0.0124,8.7472,0.0605,3.7834,0.0094,EB
41.0000,4.8567,0.0126,11.3779,0.0808,4.0595,0.0091,EB
51.0000,5.0524,0.0119,14.0844,0.1030,4.2941,0.0104,EB
61.0000,5.2331,0.0128,16.7446,0.1187,4.4717,0.0101,EB
71.0000,5.3672,0.0121,19.4647,0.1420,4.6541,0.0108,EB
81.0000,5.5220,0.0133,22.4340,0.1639,4.7859,0.0107,EB
91.0000,5.6339,0.0139,25.1574,0.1788,4.9156,0.0113,EB
101.0000,5.7334,0.0143,27.5739,0.1773,5.0336,0.0119,EB
111.0000,5.8539,0.0146,30.3954,0.2175,5.1563,0.0125,EB
121.0000,5.9351,0.0137,33.5605,0.2369,5.2586,0.0134,EB
131.0000,6.0231,0.0144,35.8180,0.2499,5.3445,0.0137,EB
141.0000,6.1166,0.0134,38.5707,0.2736,5.4265,0.0133,EB
151.0000,6.2067,0.0147,41.9569,0.3092,5.5257,0.0137,EB
161.0000,6.2719,0.0149,44.1132,0.2988,5.6045,0.0149,EB
171.0000,6.3583,0.0152,47.4026,0.3266,5.6816,0.0148,EB
181.0000,6.4282,0.0169,49.8352,0.3238,5.7517,0.0144,EB
191.0000,6.4875,0.0159,52.6155,0.3948,5.8136,0.0153,EB
