T,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,final_shrinkage,winner
1,0.6005,0.0038,0.6062,0.0037,0.6000,0.0037,0.0000,EB
2,1.2074,0.0057,0.9449,0.0047,1.2115,0.0056,0.0000,Pooled
3,1.7735,0.0076,1.2582,0.0076,1.6697,0.0070,0.1357,Pooled
4,2.2499,0.0084,1.5812,0.0090,2.0013,0.0081,0.2084,Pooled
5,2.6626,0.0093,1.8805,0.0111,2.2524,0.0078,0.4099,Pooled
6,3.0203,0.0113,2.1845,0.0126,2.4679,0.0088,0.5228,Pooled
7,3.2634,0.0112,2.4821,0.0153,2.5995,0.0094,0.5952,Pooled
8,3.4894,0.0127,2.7858,0.0171,2.7272,0.0088,0.6420,EB
9,3.6894,0.0126,3.1158,0.0215,2.8368,0.0089,0.6756,EB
10,3.8404,0.0122,3.4519,0.0227,2.9062,0.0094,0.7018,EB
11,3.9797,0.0118,3.7493,0.0245,2.9886,0.0091,0.7197,EB
12,4.0930,0.0136,4.0236,0.0287,3.0798,0.0089,0.7351,EB
13,4.1715,0.0144,4.3717,0.0294,3.1555,0.0102,0.7495,EB
14,4.2707,0.0140,4.6367,0.0335,3.2196,0.0095,0.7589,EB
15,4.3365,0.0131,4.8902,0.0352,3.2744,0.0101,0.7714,EB
16,4.4104,0.0134,5.2410,0.0386,3.3229,0.0092,0.7784,EB
17,4.5005,0.0133,5.6190,0.0380,3.4017,0.0092,0.7847,EB
18,4.5341,0.0138,5.8434,0.0419,3.4662,0.0100,0.7922,EB
19,4.5475,0.0141,6.1900,0.0450,3.4957,0.0096,0.7993,EB
20,4.6304,0.0133,6.5695,0.0414,3.5567,0.0091,0.8042,EB
21,4.6428,0.0129,6.8202,0.0499,3.5735,0.0100,0.8084,EB
22,4.7078,0.0138,7.2043,0.0499,3.6311,0.0098,0.8122,EB
23,4.7221,0.0138,7.3328,0.0495,3.6461,0.0095,0.8172,EB
24,4.7742,0.0131,7.7931,0.0587,3.7004,0.0097,0.8210,EB
25,4.8106,0.0140,8.0183,0.0618,3.7450,0.0101,0.8246,EB
