T,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,final_shrinkage,winner
1,0.5356,0.0091,0.5469,0.0080,0.5492,0.0089,0.0000,Unpooled
11,3.7323,0.0303,5.2366,0.0602,3.0112,0.0232,0.6418,EB
21,4.3887,0.0342,9.4832,0.1127,3.5808,0.0227,0.7635,EB
31,4.7897,0.0348,13.7430,0.1725,3.9830,0.0263,0.8064,EB
41,5.0494,0.0357,18.5095,0.2150,4.2459,0.0254,0.8226,EB
51,5.1869,0.0331,21.9982,0.2779,4.4865,0.0278,0.8463,EB
61,5.3773,0.0340,26.3833,0.3174,4.6845,0.0265,0.8575,EB
71,5.5212,0.0350,30.5522,0.3973,4.8340,0.0329,0.8633,EB
81,5.6200,0.0341,34.5164,0.4441,4.9349,0.0283,0.8675,EB
91,5.7843,0.0351,38.7212,0.4594,5.0680,0.0308,0.8714,EB
101,5.8024,0.0374,42.5829,0.5468,5.1200,0.0342,0.8772,EB
111,6.0215,0.0384,47.0185,0.6037,5.2889,0.0367,0.8804,EB
121,6.0479,0.0365,51.8720,0.6822,5.3910,0.0406,0.8816,EB
131,6.1609,0.0375,55.2486,0.7139,5.5020,0.0361,0.8847,EB
141,6.3059,0.0411,59.6939,0.7822,5.6036,0.0424,0.8908,EB
151,6.3326,0.0421,64.3567,0.7994,5.7040,0.0397,0.8865,EB
161,6.4103,0.0416,69.7849,0.8261,5.7120,0.0429,0.8951,EB
171,6.4443,0.0400,71.8758,0.9490,5.7989,0.0385,0.8953,EB
181,6.5884,0.0445,75.3821,0.8933,5.9533,0.0454,0.8995,EB
191,6.5561,0.0388,82.3117,0.9944,6.0310,0.0536,0.8919,EB
