T,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,final_shrinkage,winner
1,0.5879,0.0099,0.5985,0.0087,0.6002,0.0096,0.0000,Unpooled
11,3.9886,0.0337,4.2275,0.0676,3.0220,0.0244,0.6186,EB
21,4.6304,0.0369,7.2598,0.1186,3.5662,0.0248,0.7321,EB
31,5.0339,0.0343,10.5083,0.1900,3.9425,0.0278,0.7708,EB
41,5.2669,0.0372,13.8217,0.2261,4.2339,0.0282,0.7979,EB
51,5.3863,0.0366,16.6474,0.3020,4.4114,0.0298,0.8128,EB
61,5.5930,0.0346,19.4774,0.3372,4.6179,0.0307,0.8168,EB
71,5.7078,0.0361,22.5036,0.4265,4.7866,0.0350,0.8300,EB
81,5.7999,0.0349,25.2638,0.4704,4.9159,0.0353,0.8332,EB
91,5.9986,0.0381,28.6583,0.5299,5.0017,0.0339,0.8413,EB
101,6.0407,0.0428,30.5178,0.5635,5.1011,0.0355,0.8499,EB
111,6.1972,0.0375,34.1147,0.5780,5.1951,0.0382,0.8523,EB
121,6.1793,0.0386,38.4710,0.6771,5.3277,0.0416,0.8486,EB
131,6.3827,0.0444,40.3442,0.7322,5.5053,0.0477,0.8493,EB
141,6.4604,0.0398,43.7507,0.8123,5.5650,0.0402,0.8650,EB
151,6.4173,0.0417,48.7270,0.9367,5.6027,0.0411,0.8641,EB
161,6.5655,0.0441,51.7286,0.9193,5.6184,0.0411,0.8718,EB
171,6.6385,0.0415,53.1280,1.0426,5.7737,0.0516,0.8639,EB
181,6.7861,0.0457,54.8523,0.9047,5.8863,0.0481,0.8742,EB
191,6.6943,0.0421,60.0635,1.0509,5.9338,0.0507,0.8695,EB
