T,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,final_shrinkage,winner
1,0.5530,0.0034,0.5592,0.0034,0.5539,0.0035,0.0000,Unpooled
2,1.1169,0.0053,1.0770,0.0051,1.1166,0.0050,0.0000,Pooled
3,1.6366,0.0072,1.5788,0.0080,1.5717,0.0067,0.1356,EB
4,2.0810,0.0078,2.0946,0.0096,1.9206,0.0076,0.2083,EB
5,2.4641,0.0085,2.5778,0.0121,2.1779,0.0076,0.4043,EB
6,2.7942,0.0103,3.0658,0.0149,2.4021,0.0083,0.5278,EB
7,3.0390,0.0103,3.5366,0.0173,2.5536,0.0082,0.6073,EB
8,3.2467,0.0110,4.0340,0.0197,2.6772,0.0080,0.6574,EB
9,3.4475,0.0119,4.5176,0.0235,2.7973,0.0090,0.6925,EB
10,3.5886,0.0110,5.0421,0.0236,2.8793,0.0090,0.7188,EB
11,3.7240,0.0109,5.5186,0.0262,2.9776,0.0087,0.7392,EB
12,3.8312,0.0128,5.9518,0.0302,3.0690,0.0086,0.7552,EB
13,3.9064,0.0135,6.4863,0.0327,3.1280,0.0094,0.7687,EB
14,4.0016,0.0127,6.9094,0.0362,3.2084,0.0092,0.7793,EB
15,4.0793,0.0121,7.3851,0.0382,3.2711,0.0094,0.7918,EB
16,4.1577,0.0130,7.9228,0.0428,3.3261,0.0086,0.7989,EB
17,4.2346,0.0127,8.4642,0.0406,3.3976,0.0090,0.8056,EB
18,4.2710,0.0120,8.8544,0.0453,3.4569,0.0096,0.8133,EB
19,4.2855,0.0132,9.3456,0.0499,3.5005,0.0091,0.8193,EB
20,4.3790,0.0125,9.9680,0.0488,3.5582,0.0088,0.8244,EB
21,4.3980,0.0123,10.3827,0.0528,3.5796,0.0096,0.8285,EB
22,4.4583,0.0128,10.9036,0.0536,3.6351,0.0091,0.8316,EB
23,4.4700,0.0131,11.2003,0.0536,3.6457,0.0095,0.8365,EB
24,4.5210,0.0129,11.8087,0.0650,3.7130,0.0093,0.8406,EB
25,4.5614,0.0128,12.2167,0.0670,3.7484,0.0094,0.8446,EB
