T,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,final_shrinkage,winner
1,0.6091,0.0051,0.6080,0.0055,0.5947,0.0053,0.0000,EB
11,3.9848,0.0182,3.7786,0.0354,3.0307,0.0133,0.7074,EB
21,4.6654,0.0196,6.7968,0.0703,3.5704,0.0134,0.7997,EB
31,4.9996,0.0210,9.9115,0.1025,3.9286,0.0144,0.8336,EB
41,5.2541,0.0208,12.8414,0.1353,4.1840,0.0145,0.8494,EB
51,5.4601,0.0194,15.6481,0.1635,4.4187,0.0151,0.8621,EB
61,5.5972,0.0186,19.0469,0.1956,4.5857,0.0159,0.8716,EB
71,5.7305,0.0201,21.9159,0.2425,4.7363,0.0161,0.8804,EB
81,5.8450,0.0205,25.3799,0.2766,4.8876,0.0165,0.8840,EB
91,5.9098,0.0205,28.2168,0.3038,4.9860,0.0174,0.8878,EB
101,6.0960,0.0202,30.7989,0.3102,5.1037,0.0174,0.8885,EB
111,6.1597,0.0214,33.8249,0.3503,5.2002,0.0186,0.8925,EB
121,6.2155,0.0215,37.6044,0.4266,5.3009,0.0190,0.8977,EB
131,6.3011,0.0220,40.2866,0.4151,5.3958,0.0204,0.8986,EB
141,6.3683,0.0216,43.4654,0.4741,5.4975,0.0196,0.9021,EB
151,6.4963,0.0219,47.6877,0.5274,5.5722,0.0208,0.9021,EB
161,6.4940,0.0213,50.0850,0.5281,5.6448,0.0218,0.9046,EB
171,6.6088,0.0240,53.2186,0.5283,5.6964,0.0214,0.9059,EB
181,6.6834,0.0257,56.2869,0.5746,5.7733,0.0221,0.9077,EB
191,6.7496,0.0243,59.0976,0.6486,5.8207,0.0221,0.9084,EB
201,6.7777,0.0241,61.4215,0.6610,5.8948,0.0235,0.9099,EB
