T,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,final_shrinkage,winner
1,0.6091,0.0051,0.6080,0.0055,0.5947,0.0053,0.0000,EB
2,1.2022,0.0079,0.9592,0.0078,1.2131,0.0081,0.0000,Pooled
3,1.7685,0.0106,1.2720,0.0105,1.6671,0.0104,0.1300,Pooled
4,2.2665,0.0130,1.6145,0.0137,2.0097,0.0107,0.1894,Pooled
5,2.6754,0.0156,1.9023,0.0165,2.2586,0.0116,0.3932,Pooled
6,3.0261,0.0152,2.2004,0.0206,2.4671,0.0124,0.4999,Pooled
7,3.2933,0.0148,2.5494,0.0226,2.5948,0.0126,0.5779,Pooled
8,3.5094,0.0172,2.8231,0.0276,2.7187,0.0124,0.6268,EB
9,3.6884,0.0180,3.1763,0.0303,2.8470,0.0128,0.6624,EB
10,3.8167,0.0173,3.4671,0.0343,2.9169,0.0121,0.6887,EB
11,3.9924,0.0174,3.7114,0.0341,3.0039,0.0126,0.7043,EB
12,4.0904,0.0176,4.0245,0.0387,3.0893,0.0128,0.7226,EB
13,4.1656,0.0189,4.4139,0.0474,3.1546,0.0133,0.7385,EB
14,4.2683,0.0195,4.6705,0.0445,3.2210,0.0133,0.7492,EB
15,4.3276,0.0198,4.9878,0.0510,3.3054,0.0132,0.7625,EB
16,4.4394,0.0199,5.4286,0.0572,3.3554,0.0136,0.7678,EB
17,4.4328,0.0187,5.6654,0.0561,3.3988,0.0139,0.7773,EB
18,4.5288,0.0198,5.9716,0.0567,3.4697,0.0138,0.7838,EB
19,4.5775,0.0193,6.3024,0.0619,3.5051,0.0137,0.7892,EB
20,4.6146,0.0214,6.5809,0.0697,3.5268,0.0135,0.7971,EB
21,4.6393,0.0202,6.8028,0.0714,3.5561,0.0142,0.8006,EB
22,4.7121,0.0196,7.2701,0.0779,3.6190,0.0134,0.8052,EB
23,4.7466,0.0201,7.3472,0.0706,3.6567,0.0136,0.8082,EB
24,4.7623,0.0200,7.8195,0.0844,3.7025,0.0151,0.8121,EB
25,4.7946,0.0190,8.1359,0.0904,3.7542,0.0140,0.8181,EB
