conjecture,run,T,c,s,mean_tau_counterfactual,sd_tau_counterfactual,frac_action1_counterfactual,n_actual_context,mean_tau_actual,sd_tau_actual,frac_action1_actual,obs_count,obs_freq,frac_action1_observed,regret_always1_observed,regret_always0_observed
conj1,0,1,0,0,0.350615,0.973685,0.57,58,0.47768,0.939235,0.603448,29,0.29,0.62069,0.145864,0.729617
conj1,0,1,0,1,0.627826,1.37415,0.67,58,0.783551,1.37452,0.706897,29,0.29,0.655172,0.239909,0.956856
conj1,0,1,1,0,0.378741,1.40792,0.61,42,0.168133,1.39651,0.571429,20,0.2,0.55,0.560387,0.549566
conj1,0,1,1,1,0.655951,1.75807,0.59,42,0.405764,1.69516,0.547619,22,0.22,0.590909,0.532926,1.105
conj1,1,1,0,0,0.488031,1.07466,0.65,48,0.454581,1.07404,0.6875,22,0.22,0.727273,0.165604,0.715606
conj1,1,1,0,1,0.848251,1.45607,0.75,48,0.875719,1.55866,0.791667,26,0.26,0.846154,0.257936,1.18342
conj1,1,1,1,0,0.650978,1.4534,0.71,52,0.825952,1.47819,0.730769,19,0.19,0.736842,0.372767,0.925118
conj1,1,1,1,1,1.0112,1.74959,0.74,52,1.12994,1.6688,0.75,33,0.33,0.818182,0.221135,1.50707
conj1,2,1,0,0,0.551576,1.07216,0.68,43,0.608377,1.23839,0.627907,25,0.25,0.48,0.355159,0.745836
conj1,2,1,0,1,0.871289,1.46144,0.7,43,0.909474,1.60756,0.697674,18,0.18,0.888889,0.0694597,1.47076
conj1,2,1,1,0,0.743598,1.35,0.71,57,0.770834,1.26501,0.754386,28,0.28,0.714286,0.303113,1.09163
conj1,2,1,1,1,1.06331,1.6625,0.74,57,1.10459,1.60307,0.754386,29,0.29,0.689655,0.326088,1.23651
conj1,3,1,0,0,0.35079,1.09058,0.58,51,0.447651,1.07624,0.607843,24,0.24,0.583333,0.202263,0.665223
conj1,3,1,0,1,0.466969,1.50033,0.56,51,0.597078,1.4508,0.607843,27,0.27,0.592593,0.413993,0.980962
conj1,3,1,1,0,0.724947,1.55208,0.67,49,0.770277,1.56631,0.653061,32,0.32,0.65625,0.308197,1.25189
conj1,3,1,1,1,0.841126,1.891,0.67,49,0.851851,1.90777,0.632653,17,0.17,0.705882,0.430556,1.01037
conj1,4,1,0,0,0.319085,1.03723,0.61,44,0.372718,1.11826,0.613636,23,0.23,0.652174,0.285845,0.717654
conj1,4,1,0,1,0.627068,1.36241,0.64,44,0.474499,1.51772,0.636364,21,0.21,0.571429,0.446323,0.913706
conj1,4,1,1,0,0.415628,1.39931,0.6,56,0.223033,1.34058,0.535714,31,0.31,0.548387,0.470664,0.714514
conj1,4,1,1,1,0.723612,1.60801,0.67,56,0.693033,1.47832,0.678571,25,0.25,0.68,0.183788,0.875088
conj1,5,1,0,0,0.265121,0.951037,0.58,49,0.262327,0.934184,0.55102,25,0.25,0.56,0.32443,0.480097
conj1,5,1,0,1,0.300164,1.34912,0.55,49,0.176098,1.22948,0.530612,24,0.24,0.583333,0.454719,0.834656
conj1,5,1,1,0,0.371537,1.29725,0.59,51,0.564324,1.44625,0.607843,23,0.23,0.782609,0.100251,1.19043
conj1,5,1,1,1,0.40658,1.69209,0.58,51,0.715885,1.7781,0.627451,28,0.28,0.535714,0.624466,0.803317
conj1,6,1,0,0,0.267114,1.03614,0.58,51,0.174613,1.0341,0.509804,18,0.18,0.5,0.363497,0.554219
conj1,6,1,0,1,0.366586,1.27342,0.58,51,0.279392,1.26722,0.54902,33,0.33,0.545455,0.410558,0.684442
conj1,6,1,1,0,0.37012,1.27431,0.65,49,0.458082,1.42289,0.673469,22,0.22,0.727273,0.28357,0.988137
conj1,6,1,1,1,0.469591,1.42263,0.6,49,0.552028,1.43678,0.632653,27,0.27,0.518519,0.518226,0.738139
conj1,7,1,0,0,0.460193,1.0215,0.63,50,0.461681,1.09513,0.58,23,0.23,0.565217,0.250485,0.661311
conj1,7,1,0,1,0.614196,1.39276,0.67,50,0.505732,1.2866,0.64,27,0.27,0.703704,0.248394,0.833799
conj1,7,1,1,0,0.636767,1.50977,0.68,50,0.710489,1.63396,0.72,23,0.23,0.826087,0.147756,1.2502
conj1,7,1,1,1,0.790769,1.81171,0.63,50,0.974444,2.01318,0.7,27,0.27,0.62963,0.667218,1.2214
conj1,8,1,0,0,0.446041,0.975353,0.67,44,0.313432,0.955584,0.636364,18,0.18,0.777778,0.175768,0.676848
conj1,8,1,0,1,0.629768,1.42784,0.62,44,0.360522,1.30068,0.568182,26,0.26,0.576923,0.345761,0.575492
conj1,8,1,1,0,0.710309,1.512,0.64,56,0.792523,1.57785,0.678571,26,0.26,0.653846,0.307156,0.973053
conj1,8,1,1,1,0.894036,1.86339,0.65,56,1.08361,1.97236,0.660714,30,0.3,0.733333,0.255783,1.68436
conj1,9,1,0,0,0.380942,1.05534,0.64,46,0.230409,1.02152,0.521739,26,0.26,0.461538,0.346453,0.421481
conj1,9,1,0,1,0.683807,1.49836,0.68,46,0.548728,1.50721,0.673913,20,0.2,0.65,0.453802,1.02207
conj1,9,1,1,0,0.658419,1.47621,0.69,54,0.749642,1.47296,0.703704,24,0.24,0.583333,0.412314,1.03145
conj1,9,1,1,1,0.961284,1.77754,0.72,54,1.03934,1.76665,0.722222,30,0.3,0.766667,0.166286,1.29366
conj1,10,1,0,0,0.376452,0.965274,0.66,49,0.376896,0.929733,0.693878,19,0.19,0.526316,0.236133,0.451741
conj1,10,1,0,1,0.832563,1.31308,0.76,49,0.810413,1.18888,0.734694,30,0.3,0.766667,0.0802816,1.10084
conj1,10,1,1,0,0.609962,1.40696,0.7,51,0.494049,1.42547,0.705882,26,0.26,0.692308,0.50163,0.864797
conj1,10,1,1,1,1.06607,1.79875,0.75,51,0.971869,1.86815,0.705882,25,0.25,0.68,0.390334,1.38561
conj1,11,1,0,0,0.245887,1.11671,0.59,53,0.479635,1.1706,0.735849,28,0.28,0.785714,0.0583611,0.580366
conj1,11,1,0,1,0.482118,1.56907,0.67,53,0.895958,1.53265,0.754717,25,0.25,0.72,0.383064,1.42801
conj1,11,1,1,0,0.302848,1.41967,0.58,47,0.174617,1.31907,0.574468,24,0.24,0.541667,0.508273,0.588617
conj1,11,1,1,1,0.539079,1.74915,0.63,47,0.207767,1.83404,0.553191,23,0.23,0.521739,0.704954,0.725167
conj1,12,1,0,0,0.415393,1.10459,0.59,44,0.652145,1.10161,0.75,28,0.28,0.785714,0.19358,0.832291
conj1,12,1,0,1,0.59899,1.47656,0.66,44,0.87058,1.39131,0.727273,16,0.16,0.75,0.174727,1.22589
conj1,12,1,1,0,0.386611,1.53164,0.61,56,0.282395,1.56237,0.571429,29,0.29,0.655172,0.370407,0.798822
conj1,12,1,1,1,0.570209,1.84924,0.62,56,0.438621,1.90441,0.607143,27,0.27,0.518519,0.626696,0.999019
conj1,13,1,0,0,0.422975,1.03688,0.68,55,0.352319,1.13697,0.618182,30,0.3,0.6,0.321742,0.722747
conj1,13,1,0,1,0.664879,1.42775,0.69,55,0.492865,1.52842,0.636364,25,0.25,0.64,0.324242,0.864937
conj1,13,1,1,0,0.653687,1.42946,0.65,45,0.574531,1.27704,0.622222,23,0.23,0.652174,0.160636,0.724074
conj1,13,1,1,1,0.895591,1.66854,0.7,45,0.940318,1.44868,0.688889,22,0.22,0.727273,0.194311,1.4124
conj1,14,1,0,0,0.314516,1.0376,0.63,49,0.216003,0.981864,0.591837,22,0.22,0.590909,0.330411,0.334701
conj1,14,1,0,1,0.437802,1.39835,0.6,49,0.418165,1.22995,0.612245,27,0.27,0.666667,0.296572,0.927843
conj1,14,1,1,0,0.41276,1.42699,0.6,51,0.513037,1.39455,0.607843,23,0.23,0.695652,0.198424,1.02012
conj1,14,1,1,1,0.536046,1.71162,0.63,51,0.560539,1.73582,0.607843,28,0.28,0.571429,0.62876,0.908514
