conjecture,run,T,c,n_context,frac_opt_00,frac_opt_01,frac_opt_10,frac_opt_11,frac_state_dependent
conj1,0,1,0,58,0.172414,0.224138,0.12069,0.482759,0.344828
conj1,0,1,1,42,0.357143,0.0714286,0.0952381,0.47619,0.166667
conj1,1,1,0,48,0.166667,0.145833,0.0416667,0.645833,0.1875
conj1,1,1,1,52,0.173077,0.0961538,0.0769231,0.653846,0.173077
conj1,2,1,0,43,0.255814,0.116279,0.0465116,0.581395,0.162791
conj1,2,1,1,57,0.122807,0.122807,0.122807,0.631579,0.245614
conj1,3,1,0,51,0.254902,0.137255,0.137255,0.470588,0.27451
conj1,3,1,1,49,0.285714,0.0612245,0.0816327,0.571429,0.142857
conj1,4,1,0,44,0.272727,0.113636,0.0909091,0.522727,0.204545
conj1,4,1,1,56,0.232143,0.232143,0.0892857,0.446429,0.321429
conj1,5,1,0,49,0.306122,0.142857,0.163265,0.387755,0.306122
conj1,5,1,1,51,0.333333,0.0588235,0.0392157,0.568627,0.0980392
conj1,6,1,0,51,0.352941,0.137255,0.0980392,0.411765,0.235294
conj1,6,1,1,49,0.244898,0.0816327,0.122449,0.55102,0.204082
conj1,7,1,0,50,0.3,0.12,0.06,0.52,0.18
conj1,7,1,1,50,0.2,0.08,0.1,0.62,0.18
conj1,8,1,0,44,0.204545,0.159091,0.227273,0.409091,0.386364
conj1,8,1,1,56,0.25,0.0714286,0.0892857,0.589286,0.160714
conj1,9,1,0,46,0.26087,0.217391,0.0652174,0.456522,0.282609
conj1,9,1,1,54,0.185185,0.111111,0.0925926,0.611111,0.203704
conj1,10,1,0,49,0.122449,0.183673,0.142857,0.55102,0.326531
conj1,10,1,1,51,0.196078,0.0980392,0.0980392,0.607843,0.196078
conj1,11,1,0,53,0.132075,0.132075,0.113208,0.622642,0.245283
conj1,11,1,1,47,0.361702,0.0638298,0.0851064,0.489362,0.148936
conj1,12,1,0,44,0.181818,0.0681818,0.0909091,0.659091,0.159091
conj1,12,1,1,56,0.321429,0.107143,0.0714286,0.5,0.178571
conj1,13,1,0,55,0.272727,0.109091,0.0909091,0.527273,0.2
conj1,13,1,1,45,0.222222,0.155556,0.0888889,0.533333,0.244444
conj1,14,1,0,49,0.285714,0.122449,0.102041,0.489796,0.22449
conj1,14,1,1,51,0.333333,0.0588235,0.0588235,0.54902,0.117647
conj1,15,1,0,46,0.195652,0.195652,0.0217391,0.586957,0.217391
conj1,15,1,1,54,0.148148,0.0740741,0.0740741,0.703704,0.148148
conj1,16,1,0,50,0.18,0.16,0.06,0.6,0.22
conj1,16,1,1,50,0.32,0.14,0.04,0.5,0.18
conj1,17,1,0,59,0.20339,0.135593,0.118644,0.542373,0.254237
conj1,17,1,1,41,0.292683,0.0243902,0.0731707,0.609756,0.097561
conj1,18,1,0,49,0.183673,0.142857,0.122449,0.55102,0.265306
conj1,18,1,1,51,0.215686,0.0980392,0.117647,0.568627,0.215686
conj1,19,1,0,52,0.346154,0.115385,0.0384615,0.5,0.153846
conj1,19,1,1,48,0.270833,0.104167,0.0625,0.5625,0.166667
conj1,0,11,0,51,0.196078,0.156863,0.0392157,0.607843,0.196078
conj1,0,11,1,49,0.183673,0.0612245,0.0612245,0.693878,0.122449
conj1,1,11,0,50,0.2,0.12,0.18,0.5,0.3
conj1,1,11,1,50,0.24,0.08,0.08,0.6,0.16
conj1,2,11,0,46,0.173913,0.108696,0.0217391,0.695652,0.130435
conj1,2,11,1,54,0.185185,0.0740741,0.111111,0.62963,0.185185
conj1,3,11,0,40,0.25,0.05,0.125,0.575,0.175
conj1,3,11,1,60,0.283333,0.05,0.0833333,0.583333,0.133333
conj1,4,11,0,51,0.235294,0.0784314,0.137255,0.54902,0.215686
conj1,4,11,1,49,0.265306,0.0816327,0,0.653061,0.0816327
conj1,5,11,0,56,0.303571,0.107143,0.0714286,0.517857,0.178571
conj1,5,11,1,44,0.204545,0.159091,0.0454545,0.590909,0.204545
conj1,6,11,0,37,0.27027,0.135135,0.135135,0.459459,0.27027
conj1,6,11,1,63,0.253968,0.015873,0.047619,0.68254,0.0634921
conj1,7,11,0,54,0.203704,0.203704,0.12963,0.462963,0.333333
conj1,7,11,1,46,0.282609,0.0652174,0.0652174,0.586957,0.130435
