T,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,final_shrinkage,winner
1,0.6005,0.0038,0.6062,0.0037,0.6000,0.0037,0.0000,EB
11,4.4012,0.0130,3.8264,0.0275,3.5333,0.0104,0.6059,EB
21,5.8454,0.0162,6.8438,0.0492,4.6794,0.0134,0.7017,EB
31,6.7088,0.0180,10.0343,0.0705,5.4749,0.0153,0.7474,EB
41,7.3774,0.0197,13.0411,0.0937,6.0764,0.0170,0.7741,EB
51,7.9755,0.0204,15.9960,0.1087,6.6496,0.0184,0.7937,EB
61,8.4428,0.0218,19.1069,0.1391,7.0743,0.0197,0.8082,EB
71,8.8914,0.0238,21.9974,0.1557,7.5075,0.0201,0.8179,EB
81,9.3133,0.0245,25.2930,0.2001,7.8543,0.0228,0.8266,EB
91,9.6676,0.0261,28.5581,0.2131,8.1250,0.0247,0.8336,EB
101,9.9965,0.0251,31.5901,0.2264,8.4718,0.0251,0.8380,EB
111,10.2405,0.0294,34.2576,0.2663,8.7438,0.0272,0.8436,EB
121,10.6155,0.0301,37.7104,0.2774,8.9503,0.0261,0.8480,EB
131,10.8438,0.0307,40.3796,0.3191,9.2249,0.0287,0.8514,EB
141,11.1059,0.0297,42.9326,0.3276,9.4567,0.0279,0.8546,EB
151,11.2992,0.0323,46.3718,0.3629,9.7096,0.0302,0.8582,EB
161,11.5419,0.0341,50.1901,0.3620,9.9529,0.0321,0.8607,EB
171,11.8177,0.0311,52.4331,0.4046,10.0774,0.0335,0.8623,EB
181,11.9811,0.0342,55.8227,0.4276,10.3176,0.0342,0.8653,EB
191,12.1774,0.0348,59.7653,0.3990,10.4839,0.0329,0.8674,EB
