time,unpooled_ts_mean_regret,pooled_ts_mean_regret,eb_ts_mean_regret
1,0.26068523,0.25897301,0.26068523
2,0.23272255,0.17502677,0.12387949
3,0.21085528,0.11070765,0.08290820
4,0.19255866,0.08223235,0.07764491
5,0.18186682,0.07800827,0.08066030
6,0.17689104,0.07763081,0.08685947
7,0.17063871,0.07694314,0.09435816
8,0.16895096,0.08056431,0.10333858
9,0.16843529,0.07770825,0.11123118
10,0.16455757,0.08399399,0.11941323
11,0.16547092,0.08227133,0.12507716
12,0.16280759,0.08409882,0.13046399
13,0.16416948,0.08524117,0.13601156
14,0.16370739,0.08657604,0.13947163
15,0.16137160,0.08659438,0.14219815
16,0.16172291,0.08821394,0.14444358
17,0.16046407,0.08749909,0.14734813
18,0.16048162,0.08731167,0.14944069
19,0.15797037,0.08566257,0.14933581
20,0.15752752,0.08416387,0.15068440
21,0.15637898,0.08536260,0.15169800
22,0.15564997,0.08592752,0.15263199
23,0.15442042,0.08336273,0.15286331
24,0.15293866,0.08277274,0.15379748
25,0.15128425,0.08238237,0.15453316
26,0.15193824,0.08179792,0.15505239
27,0.15165974,0.08190999,0.15465385
28,0.15051533,0.08126296,0.15441189
29,0.14964799,0.07754137,0.15483167
30,0.15022058,0.07984532,0.15602424
31,0.14731759,0.07865496,0.15578639
32,0.14461002,0.08007939,0.15593987
33,0.14381595,0.07956582,0.15702307
34,0.14284689,0.07849979,0.15766221
35,0.14111388,0.07890283,0.15737461
36,0.14058098,0.07890304,0.15772224
37,0.13941083,0.07681042,0.15736548
38,0.13824629,0.07712316,0.15633299
39,0.13891770,0.07842095,0.15628618
40,0.13838897,0.07811731,0.15675080
