decision_time,true_result,sim_1,sim_2,sim_3,sim_4,sim_5
2024-03-02 04:00:00,"(True, 2.19)","(False, 12.0)","(False, 12.0)","(False, 12.0)","(False, 12.0)","(True, 3.22)"
2024-03-02 16:00:00,"(False, 12.0)","(True, 2.42)","(False, 12.0)","(True, 8.47)","(False, 12.0)","(True, 3.62)"
2024-03-03 04:00:00,"(False, 12.0)","(False, 12.0)","(False, 12.0)","(False, 12.0)","(False, 12.0)","(False, 12.0)"
2024-03-03 16:00:00,"(False, 12.0)","(True, 8.5)","(False, 12.0)","(True, 7.49)","(False, 12.0)","(False, 12.0)"
2024-03-04 04:00:00,"(False, 12.0)","(True, 2.47)","(False, 12.0)","(False, 12.0)","(False, 12.0)","(False, 12.0)"
2024-03-04 16:00:00,"(False, 12.0)","(True, 8.49)","(False, 12.0)","(True, 8.41)","(False, 12.0)","(False, 12.0)"
2024-03-05 04:00:00,"(False, 12.0)","(True, 5.33)","(True, 8.28)","(False, 12.0)","(False, 12.0)","(True, 8.44)"
2024-03-05 16:00:00,"(False, 12.0)","(False, 12.0)","(False, 12.0)","(True, 5.72)","(False, 12.0)","(False, 12.0)"
2024-03-06 04:00:00,"(False, 12.0)","(True, 5.74)","(True, 6.19)","(True, 8.51)","(False, 12.0)","(True, 8.43)"
2024-03-06 16:00:00,"(False, 12.0)","(False, 12.0)","(True, 2.55)","(True, 6.17)","(False, 12.0)","(False, 12.0)"
2024-03-07 04:00:00,"(False, 12.0)","(True, 8.28)","(True, 0.58)","(True, 0.54)","(False, 12.0)","(False, 12.0)"
2024-03-07 16:00:00,"(False, 12.0)","(True, 3.68)","(True, 6.92)","(True, 8.71)","(False, 12.0)","(True, 5.72)"
2024-03-08 04:00:00,"(False, 12.0)","(True, 9.98)","(True, 6.79)","(False, 12.0)","(True, 8.28)","(True, 2.59)"
2024-03-08 16:00:00,"(False, 12.0)","(True, 8.17)","(True, 9.96)","(True, 3.09)","(True, 1.55)","(True, 5.52)"
2024-03-09 04:00:00,"(False, 12.0)","(True, 5.34)","(True, 9.97)","(True, 6.62)","(True, 6.86)","(True, 7.0)"
2024-03-09 16:00:00,"(False, 12.0)","(False, 12.0)","(True, 8.22)","(True, 7.42)","(True, 8.14)","(False, 12.0)"
2024-03-10 04:00:00,"(False, 12.0)","(False, 12.0)","(True, 6.97)","(True, 6.19)","(False, 12.0)","(False, 12.0)"
2024-03-10 16:00:00,"(False, 12.0)","(True, 9.73)","(True, 8.27)","(True, 7.51)","(True, 4.93)","(False, 12.0)"
2024-03-11 04:00:00,"(False, 12.0)","(True, 6.65)","(False, 12.0)","(True, 2.54)","(True, 3.09)","(False, 12.0)"
2024-03-11 16:00:00,"(True, 5.39)","(True, 9.56)","(True, 7.79)","(False, 12.0)","(True, 4.99)","(True, 3.84)"
2024-03-12 04:00:00,"(True, 2.66)","(True, 3.13)","(False, 12.0)","(True, 8.77)","(False, 12.0)","(True, 5.62)"
2024-03-12 16:00:00,"(True, 6.37)","(True, 2.73)","(True, 2.24)","(True, 5.36)","(True, 2.51)","(True, 9.96)"
2024-03-13 04:00:00,"(True, 8.56)","(True, 5.54)","(False, 12.0)","(False, 12.0)","(True, 5.35)","(True, 0.32)"
2024-03-13 16:00:00,"(True, 6.96)","(True, 4.94)","(True, 2.54)","(True, 2.23)","(True, 7.32)","(True, 2.55)"
2024-03-14 04:00:00,"(True, 1.58)","(True, 2.55)","(True, 2.52)","(False, 12.0)","(True, 2.23)","(True, 2.34)"
2024-03-14 16:00:00,"(True, 7.11)","(True, 8.77)","(False, 12.0)","(True, 2.37)","(True, 3.81)","(True, 1.92)"
2024-03-15 04:00:00,"(True, 3.55)","(True, 2.4)","(True, 2.27)","(False, 12.0)","(True, 6.24)","(True, 7.03)"
2024-03-15 16:00:00,"(True, 3.23)","(True, 5.36)","(True, 2.63)","(True, 3.2)","(True, 6.18)","(False, 12.0)"
2024-03-16 04:00:00,"(True, 6.84)","(False, 12.0)","(True, 8.28)","(False, 12.0)","(True, 6.87)","(True, 2.23)"
2024-03-16 16:00:00,"(True, 2.21)","(False, 12.0)","(True, 9.62)","(True, 8.28)","(True, 4.77)","(True, 2.36)"
2024-03-17 04:00:00,"(True, 5.16)","(True, 5.39)","(True, 0.18)","(True, 9.98)","(True, 8.28)","(True, 6.16)"
2024-03-17 16:00:00,"(False, 12.0)","(False, 12.0)","(True, 4.93)","(True, 2.43)","(False, 12.0)","(True, 3.34)"
2024-03-18 04:00:00,"(True, 9.22)","(True, 1.61)","(True, 9.48)","(True, 8.76)","(True, 3.83)","(True, 2.08)"
2024-03-18 16:00:00,"(True, 6.49)","(True, 2.22)","(True, 1.91)","(True, 6.18)","(True, 9.69)","(True, 3.47)"
2024-03-19 04:00:00,"(True, 2.55)","(False, 12.0)","(True, 2.02)","(False, 12.0)","(True, 5.0)","(True, 6.68)"
2024-03-19 16:00:00,"(True, 6.35)","(True, 4.98)","(True, 1.57)","(True, 5.56)","(True, 8.5)","(True, 5.66)"
2024-03-20 04:00:00,"(True, 2.39)","(True, 8.27)","(True, 2.36)","(True, 9.68)","(True, 5.35)","(True, 5.74)"
2024-03-20 16:00:00,"(False, 12.0)","(True, 8.53)","(True, 6.69)","(True, 6.31)","(False, 12.0)","(False, 12.0)"
2024-03-21 04:00:00,"(True, 2.54)","(True, 6.2)","(True, 2.36)","(True, 4.89)","(True, 2.54)","(True, 2.25)"
2024-03-21 16:00:00,"(True, 5.39)","(False, 12.0)","(True, 5.5)","(False, 12.0)","(False, 12.0)","(False, 12.0)"
2024-03-22 04:00:00,"(True, 2.27)","(True, 5.06)","(True, 2.29)","(False, 12.0)","(True, 2.13)","(True, 2.27)"
2024-03-22 16:00:00,"(True, 8.28)","(True, 6.68)","(True, 6.68)","(False, 12.0)","(True, 2.34)","(False, 12.0)"
2024-03-23 04:00:00,"(True, 9.95)","(True, 4.87)","(True, 3.67)","(False, 12.0)","(True, 6.38)","(True, 1.91)"
