decision_time,true_result,sim_1,sim_2,sim_3,sim_4,sim_5
2024-02-06 04:00:00,"(np.True_, np.float64(8.22))","(False, 12.0)","(True, 11.42)","(True, 11.39)","(False, 12.0)","(True, 10.71)"
2024-02-06 16:00:00,"(np.True_, np.float64(5.33))","(False, 12.0)","(False, 12.0)","(False, 12.0)","(False, 12.0)","(False, 12.0)"
2024-02-07 04:00:00,"(np.False_, np.float64(12.0))","(True, 1.55)","(True, 1.04)","(True, 0.61)","(True, 1.73)","(True, 11.45)"
2024-02-07 16:00:00,"(np.True_, np.float64(2.8))","(True, 11.13)","(False, 12.0)","(False, 12.0)","(False, 12.0)","(True, 11.17)"
2024-02-08 04:00:00,"(np.False_, np.float64(12.0))","(False, 12.0)","(False, 12.0)","(True, 2.81)","(False, 12.0)","(True, 0.39)"
2024-02-08 16:00:00,"(np.True_, np.float64(3.21))","(True, 10.72)","(True, 0.39)","(True, 1.05)","(True, 0.03)","(True, 0.6)"
2024-02-09 04:00:00,"(np.False_, np.float64(12.0))","(True, 0.02)","(True, 2.46)","(True, 10.91)","(False, 12.0)","(False, 12.0)"
2024-02-09 16:00:00,"(np.True_, np.float64(3.5))","(False, 12.0)","(True, 11.05)","(True, 5.87)","(True, 1.79)","(True, 1.47)"
2024-02-10 04:00:00,"(np.False_, np.float64(12.0))","(False, 12.0)","(False, 12.0)","(True, 1.78)","(True, 0.06)","(True, 9.68)"
2024-02-10 16:00:00,"(np.True_, np.float64(4.19))","(True, 1.77)","(True, 0.66)","(True, 2.82)","(False, 12.0)","(False, 12.0)"
2024-02-11 04:00:00,"(np.False_, np.float64(12.0))","(True, 0.63)","(False, 12.0)","(True, 1.52)","(True, 10.99)","(True, 11.07)"
2024-02-11 16:00:00,"(np.True_, np.float64(5.69))","(True, 11.62)","(True, 11.07)","(True, 2.81)","(True, 11.61)","(True, 9.81)"
2024-02-12 04:00:00,"(np.True_, np.float64(11.27))","(True, 1.26)","(True, 5.58)","(True, 11.27)","(True, 0.4)","(False, 12.0)"
2024-02-12 16:00:00,"(np.True_, np.float64(5.33))","(False, 12.0)","(True, 10.74)","(False, 12.0)","(False, 12.0)","(True, 10.94)"
2024-02-13 04:00:00,"(np.False_, np.float64(12.0))","(False, 12.0)","(True, 10.75)","(True, 0.36)","(True, 0.05)","(True, 0.59)"
2024-02-13 16:00:00,"(np.True_, np.float64(2.82))","(False, 12.0)","(True, 11.23)","(True, 11.28)","(False, 12.0)","(False, 12.0)"
2024-02-14 04:00:00,"(np.False_, np.float64(12.0))","(True, 0.39)","(False, 12.0)","(True, 1.82)","(False, 12.0)","(True, 9.2)"
2024-02-14 16:00:00,"(np.True_, np.float64(0.68))","(False, 12.0)","(True, 11.81)","(True, 1.48)","(True, 1.06)","(True, 0.07)"
2024-02-15 04:00:00,"(np.False_, np.float64(12.0))","(False, 12.0)","(True, 10.75)","(False, 12.0)","(False, 12.0)","(True, 1.95)"
2024-02-15 16:00:00,"(np.False_, np.float64(12.0))","(True, 2.81)","(True, 11.81)","(False, 12.0)","(True, 1.55)","(True, 3.5)"
2024-02-16 04:00:00,"(np.True_, np.float64(2.42))","(True, 7.61)","(False, 12.0)","(False, 12.0)","(True, 0.65)","(True, 11.08)"
2024-02-16 16:00:00,"(np.True_, np.float64(5.09))","(True, 11.07)","(True, 2.81)","(True, 1.62)","(False, 12.0)","(False, 12.0)"
