n,mu2,tau,sigma,t,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb
50,0,0.1,0.1,0,0.056121893,0.00052717053,0.055710012,0.00051861897,0.05689056,0.00050800111
50,0,0.1,0.1,1,0.108223,0.00080094758,0.11194593,0.00082240375,0.084808147,0.00063722466
50,0,0.1,0.1,2,0.14605925,0.00097348565,0.16558117,0.001078086,0.10465844,0.00079996277
50,0,0.1,0.1,3,0.17443072,0.0011110874,0.21837641,0.0013399376,0.12106718,0.00095300635
50,0,0.1,0.1,4,0.19655848,0.0011907567,0.26988449,0.0016383925,0.13578159,0.0011195398
50,0,0.1,0.1,5,0.21498957,0.0012440438,0.32088382,0.0019601955,0.14919204,0.0012815544
50,0,0.1,0.1,6,0.23124425,0.0013064739,0.37138381,0.0022835503,0.16188837,0.0014475062
50,0,0.1,0.1,7,0.24570547,0.0013766718,0.42184633,0.0026139966,0.17395868,0.001616332
50,0,0.1,0.1,8,0.25857703,0.0014459499,0.47183441,0.002947236,0.1855649,0.0017829548
50,0,0.1,0.1,9,0.27017109,0.0014881669,0.52170578,0.0032891279,0.19680698,0.0019517541
50,0,0.1,0.1,10,0.28088022,0.0015480941,0.57169044,0.0036310386,0.20769496,0.0021135449
50,0,0.1,0.1,11,0.29090584,0.0015804705,0.62161837,0.0039770752,0.21830816,0.0022742114
50,0,0.1,0.1,12,0.30064868,0.0016212899,0.67135582,0.0043346752,0.22875476,0.002438499
50,0,0.1,0.1,13,0.30942841,0.0016576905,0.72087225,0.0046885005,0.23913352,0.0026030043
50,0,0.1,0.1,14,0.31777638,0.0017092768,0.77071177,0.0050398509,0.24936249,0.0027661054
50,0,0.1,0.1,15,0.32595623,0.0017551206,0.82032447,0.0054020171,0.25952164,0.0029320047
50,0,0.1,0.1,16,0.33364551,0.0018063072,0.8697356,0.00575907,0.26951052,0.0030977622
50,0,0.1,0.1,17,0.34105505,0.0018321825,0.91919532,0.0061252331,0.2794264,0.0032672008
50,0,0.1,0.1,18,0.3484479,0.0018725615,0.96856075,0.0064900622,0.28930656,0.0034345929
50,0,0.1,0.1,19,0.35540733,0.0019079761,1.0177946,0.0068464147,0.29915879,0.003604036
50,0,0.1,0.1,20,0.36229111,0.0019517058,1.0671223,0.0072117425,0.30894414,0.0037739485
50,0,0.1,0.1,21,0.36846687,0.0019839378,1.1164206,0.0075740044,0.31868575,0.0039435544
50,0,0.1,0.1,22,0.37456329,0.0020228634,1.1656109,0.0079359631,0.32838777,0.0041120414
50,0,0.1,0.1,23,0.38051168,0.0020569361,1.2147741,0.0082943101,0.33806263,0.0042812149
50,0,0.1,0.1,24,0.38624522,0.0020932459,1.2639801,0.0086548967,0.34769221,0.0044489101
50,0,0.1,0.1,25,0.39184746,0.0021242292,1.3130285,0.0090261128,0.35728018,0.0046167763
50,0,0.1,0.1,26,0.39723781,0.0021587676,1.3622905,0.0093927958,0.3668431,0.0047847673
50,0,0.1,0.1,27,0.40292014,0.0021971774,1.4112293,0.0097553917,0.37635909,0.0049533289
50,0,0.1,0.1,28,0.40813611,0.0022297818,1.4605409,0.010119692,0.38583408,0.0051214658
50,0,0.1,0.1,29,0.41301579,0.002256644,1.5096766,0.010471895,0.39525225,0.0052904758
50,0,0.1,0.1,30,0.41789983,0.0022870918,1.5587668,0.010830513,0.40465382,0.0054583553
50,0,0.1,0.1,31,0.4228306,0.0023211805,1.6077807,0.011188652,0.41404508,0.0056262029
50,0,0.1,0.1,32,0.42752438,0.0023506001,1.6569682,0.011550174,0.42339244,0.0057936707
50,0,0.1,0.1,33,0.43216825,0.0023679203,1.7059422,0.011918633,0.43272423,0.0059616878
50,0,0.1,0.1,34,0.43666795,0.0023987261,1.7548263,0.012287379,0.44204381,0.006130509
50,0,0.1,0.1,35,0.44121013,0.0024278245,1.8037895,0.012639856,0.45133257,0.0062981071
50,0,0.1,0.1,36,0.44547969,0.0024466261,1.8531226,0.01298836,0.46062331,0.0064682539
50,0,0.1,0.1,37,0.44973935,0.0024825716,1.9021199,0.013358646,0.4698823,0.0066374245
50,0,0.1,0.1,38,0.45383817,0.0025056416,1.9511867,0.01371252,0.47912057,0.006807871
50,0,0.1,0.1,39,0.45798984,0.0025359302,1.9999019,0.014070767,0.48834071,0.0069783818
50,0,0.1,0.1,40,0.46195173,0.0025611847,2.0489692,0.014427366,0.49753353,0.0071495926
50,0,0.1,0.1,41,0.46586761,0.0025904278,2.0978746,0.014792493,0.50671921,0.0073202664
50,0,0.1,0.1,42,0.46963969,0.0026132764,2.1467517,0.01515597,0.51588683,0.0074896212
50,0,0.1,0.1,43,0.47346541,0.0026396519,2.1956125,0.015521557,0.52501796,0.0076586562
50,0,0.1,0.1,44,0.47734835,0.0026703655,2.2446082,0.015884498,0.5341376,0.0078276261
50,0,0.1,0.1,45,0.48116247,0.0026934903,2.293518,0.016236697,0.54323936,0.0079961039
50,0,0.1,0.1,46,0.48488617,0.0027149412,2.342392,0.016599721,0.55233395,0.0081645474
50,0,0.1,0.1,47,0.48838676,0.0027410182,2.3913702,0.01696681,0.56139798,0.0083336479
50,0,0.1,0.1,48,0.49204624,0.0027687721,2.4403226,0.017334969,0.57045536,0.0085028425
50,0,0.1,0.1,49,0.49550545,0.0027891342,2.4891225,0.01769981,0.57950017,0.0086722943
50,0,0.1,0.1,50,0.49878611,0.0028145881,2.5380021,0.018065298,0.58854563,0.0088419258
50,0,0.1,0.1,51,0.50220106,0.0028369958,2.586911,0.018434583,0.59759985,0.0090116859
50,0,0.1,0.1,52,0.50544228,0.0028590514,2.635785,0.018795885,0.60664513,0.0091818298
50,0,0.1,0.1,53,0.50881216,0.0028881666,2.684635,0.019160101,0.61568364,0.0093516001
50,0,0.1,0.1,54,0.51206674,0.0029109677,2.7334415,0.019523049,0.62470731,0.0095210907
50,0,0.1,0.1,55,0.51539338,0.0029394077,2.7822515,0.019888513,0.63370959,0.009690362
50,0,0.1,0.1,56,0.51853758,0.0029604104,2.8310842,0.020249433,0.64271238,0.0098589496
50,0,0.1,0.1,57,0.52168404,0.0029777332,2.8799339,0.020609917,0.65170807,0.010027787
50,0,0.1,0.1,58,0.52480562,0.0029970536,2.9287193,0.020967496,0.66071427,0.010196737
50,0,0.1,0.1,59,0.52784178,0.0030180169,2.9775344,0.021326585,0.66970937,0.010366331
50,0,0.1,0.1,60,0.53095504,0.0030344744,3.0263194,0.021691062,0.67871026,0.010535689
