tau,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,winner
0.0100,6.2258,0.0318,1.4341,0.0454,2.4294,0.0448,Pooled
0.0200,6.2403,0.0332,1.5022,0.0479,2.5527,0.0588,Pooled
0.0300,6.2022,0.0322,1.4461,0.0479,2.5047,0.0512,Pooled
0.0400,6.1661,0.0322,1.5119,0.0544,2.5924,0.0587,Pooled
0.0500,6.2879,0.0347,1.4276,0.0447,2.4977,0.0635,Pooled
0.0600,6.2544,0.0343,1.4753,0.0495,2.3866,0.0434,Pooled
0.0700,6.2435,0.0329,1.4565,0.0469,2.5435,0.0552,Pooled
0.0800,6.2599,0.0349,1.4706,0.0470,2.4155,0.0554,Pooled
0.0900,6.2800,0.0319,1.5714,0.0558,2.3980,0.0475,Pooled
0.1000,6.2982,0.0322,1.5315,0.0516,2.3363,0.0481,Pooled
0.2000,6.3223,0.0319,1.5688,0.0559,2.1276,0.0358,Pooled
0.3000,6.2185,0.0337,1.6250,0.0513,2.0800,0.0340,Pooled
0.4000,6.1735,0.0360,2.3644,0.0608,2.3985,0.0323,Pooled
0.5000,6.0872,0.0347,4.0207,0.0885,3.0163,0.0416,EB
0.6000,5.9894,0.0339,6.4141,0.1262,3.6577,0.0521,EB
0.7000,5.9412,0.0352,9.6905,0.1637,4.2458,0.0647,EB
0.8000,5.8485,0.0356,13.3381,0.2138,4.6996,0.0676,EB
0.9000,5.8725,0.0351,17.3283,0.2710,5.3346,0.0753,EB
1.0000,5.8332,0.0362,21.3654,0.3125,5.7411,0.0772,EB
1.5000,6.3360,0.0597,45.3253,0.5612,6.3492,0.0700,Unpooled
2.0000,6.9708,0.0918,72.6409,0.8298,7.4155,0.1049,Unpooled
2.5000,8.4255,0.1532,97.4433,1.0170,8.8813,0.1594,Unpooled
3.0000,10.4282,0.2254,124.7921,1.2848,10.9307,0.2172,Unpooled
3.5000,13.0508,0.3042,150.1087,1.4526,13.4474,0.3016,Unpooled
4.0000,16.5867,0.3883,178.6428,1.6319,15.9733,0.3851,EB
4.5000,19.6099,0.4913,204.1197,1.9911,18.7433,0.4337,EB
5.0000,22.4072,0.5528,230.3851,1.9307,21.7437,0.5406,EB
5.5000,26.2202,0.5940,254.7951,2.1295,26.0728,0.6194,EB
6.0000,30.4824,0.7435,277.2191,2.3517,29.8561,0.6938,EB
6.5000,33.5948,0.8442,302.2878,2.4570,33.3083,0.7988,EB
7.0000,35.9247,0.8386,326.9045,2.6330,36.0143,0.7783,Unpooled
7.5000,41.9180,0.9384,353.9120,2.7912,40.7019,0.9797,EB
8.0000,43.8596,1.0171,374.1694,3.0202,44.6640,1.0813,Unpooled
8.5000,50.3246,1.2418,408.1138,3.1467,49.1703,1.1392,EB
9.0000,53.0952,1.2411,428.7745,3.4686,50.8308,1.2366,EB
9.5000,56.5237,1.2964,451.2533,3.5837,56.2756,1.3290,EB
10.0000,63.8385,1.4422,488.0397,3.7515,60.2798,1.3769,EB
