sigma,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,winner
0.0100,23.8927,0.5781,228.0480,1.8676,25.2927,0.5897,Unpooled
0.0200,24.2138,0.5956,225.9112,2.0456,25.0849,0.6089,Unpooled
0.0300,24.4794,0.5787,230.6252,1.9676,25.0477,0.5948,Unpooled
0.0400,25.0571,0.5977,227.9157,1.8945,24.9050,0.6268,EB
0.0500,26.0206,0.6691,229.0824,1.9029,24.9895,0.5778,EB
0.0600,25.7677,0.6373,226.4881,1.9311,25.5891,0.6234,EB
0.0700,25.2533,0.6164,227.2277,2.0735,25.1929,0.5983,EB
0.0800,25.0909,0.5709,225.4135,1.8844,24.8902,0.6032,EB
0.0900,25.0054,0.5978,227.8527,1.8979,25.7699,0.6260,Unpooled
0.1000,24.5527,0.6041,229.3412,1.9435,25.3443,0.5990,Unpooled
0.2000,24.5817,0.5714,231.8252,1.9348,24.9977,0.5923,Unpooled
0.3000,24.5150,0.5881,226.1960,2.0742,24.3900,0.6185,EB
0.4000,24.7681,0.6285,228.4687,2.0247,24.5669,0.6216,EB
0.5000,24.8919,0.6238,228.6338,1.8935,25.1229,0.6035,Unpooled
0.6000,22.9140,0.5805,225.9412,2.0197,24.1064,0.5715,Unpooled
0.7000,24.4427,0.5843,227.1155,2.0454,24.0843,0.5666,EB
0.8000,23.7288,0.5574,231.9094,2.0723,23.3203,0.5388,EB
0.9000,23.8695,0.5969,228.1176,1.9975,23.2992,0.5589,EB
1.0000,22.6998,0.5319,224.6189,2.0236,22.6699,0.5607,EB
1.5000,21.6052,0.5038,228.7362,2.0086,20.1595,0.4566,EB
2.0000,20.9122,0.3763,230.4822,1.9490,21.6688,0.3833,Unpooled
2.5000,22.9525,0.3180,228.2154,1.9645,25.5784,0.3868,Unpooled
3.0000,26.3071,0.2725,230.5412,2.1126,29.0307,0.3472,Unpooled
3.5000,30.7347,0.2598,228.3404,2.0560,32.4860,0.3410,Unpooled
4.0000,35.8624,0.2521,232.0204,2.0204,37.4966,0.3560,Unpooled
4.5000,40.8549,0.2539,231.5696,2.2148,41.9692,0.3338,Unpooled
5.0000,46.2378,0.2529,232.9020,1.9763,46.8694,0.3622,Unpooled
5.5000,52.4587,0.2436,231.9180,2.0041,52.4860,0.3756,Unpooled
6.0000,57.7369,0.2751,230.0643,2.0568,57.3070,0.3909,EB
6.5000,64.1222,0.2916,230.2465,2.0071,61.9212,0.4361,EB
7.0000,70.6779,0.3039,230.4165,1.9868,66.2104,0.4403,EB
7.5000,76.8630,0.3154,232.8755,2.0333,72.8172,0.4672,EB
8.0000,83.6421,0.3377,229.2329,2.0552,77.1759,0.4890,EB
8.5000,90.6152,0.3599,236.0627,2.0089,80.9436,0.5009,EB
9.0000,96.6048,0.3640,234.3130,2.0821,85.0493,0.5232,EB
9.5000,102.6673,0.4131,233.1850,2.0791,88.8115,0.5625,EB
10.0000,109.4415,0.3995,240.2930,2.0701,92.7913,0.5963,EB
