sigma,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,winner
0.0100,6.2773,0.1695,97.2154,0.9958,8.0771,0.2643,Unpooled
0.0200,6.0120,0.1653,96.2555,1.0826,7.6103,0.2134,Unpooled
0.0300,6.1701,0.1642,98.3073,1.0177,7.6884,0.2126,Unpooled
0.0400,6.1497,0.1618,97.0925,1.0000,7.8144,0.2206,Unpooled
0.0500,6.4145,0.1675,98.3240,1.0108,8.0939,0.2186,Unpooled
0.0600,6.2823,0.1737,95.9006,0.9984,7.8375,0.2228,Unpooled
0.0700,6.3072,0.1616,95.9742,1.0452,8.1158,0.2302,Unpooled
0.0800,6.0622,0.1588,95.7559,0.9894,7.7019,0.2202,Unpooled
0.0900,6.1478,0.1701,97.5889,1.0212,7.9611,0.2500,Unpooled
0.1000,6.3326,0.1696,97.8692,1.0188,8.0361,0.2227,Unpooled
0.2000,6.6135,0.1679,99.6947,1.0451,8.3237,0.2199,Unpooled
0.3000,6.5351,0.1702,96.7993,1.0922,8.0111,0.2127,Unpooled
0.4000,7.1331,0.1621,97.5414,1.0548,8.9972,0.2152,Unpooled
0.5000,7.8067,0.1786,97.0662,0.9840,10.0194,0.2352,Unpooled
0.6000,8.0507,0.1568,96.3366,1.0557,10.5380,0.2108,Unpooled
0.7000,9.1620,0.1794,97.4400,1.0849,12.3410,0.2595,Unpooled
0.8000,10.2704,0.1884,98.3197,1.0524,13.5796,0.2549,Unpooled
0.9000,11.0060,0.1782,97.2749,1.0738,14.7985,0.2648,Unpooled
1.0000,11.8803,0.1811,95.9246,1.0588,15.8428,0.2590,Unpooled
1.5000,17.8843,0.1951,97.5216,1.0546,24.1735,0.3095,Unpooled
2.0000,24.2128,0.2410,99.2171,1.0634,31.7469,0.3433,Unpooled
2.5000,31.9885,0.3151,97.3550,1.0298,40.6694,0.4406,Unpooled
3.0000,39.9636,0.3722,98.4034,1.0849,48.8083,0.5112,Unpooled
3.5000,47.1642,0.4557,98.0676,1.0633,55.2581,0.5967,Unpooled
4.0000,54.9728,0.5184,100.0633,1.0707,62.7307,0.6613,Unpooled
4.5000,60.2396,0.5874,99.4831,1.1513,67.4922,0.7241,Unpooled
5.0000,66.7976,0.6482,100.2122,1.0566,73.9430,0.7725,Unpooled
5.5000,71.4211,0.7043,99.7275,1.0660,78.4683,0.8140,Unpooled
6.0000,75.6289,0.8128,98.9312,1.1078,82.3178,0.9146,Unpooled
6.5000,79.2751,0.8175,99.5038,1.0942,86.1578,0.9177,Unpooled
7.0000,82.1079,0.8478,99.6796,1.0676,88.7875,0.9447,Unpooled
7.5000,85.7169,0.9186,100.3765,1.0909,92.0325,1.0172,Unpooled
8.0000,85.6345,0.9522,98.2397,1.0907,91.4704,1.0358,Unpooled
8.5000,90.2005,0.9588,101.8627,1.0627,95.6895,1.0423,Unpooled
9.0000,91.6044,1.0183,101.6601,1.1083,96.5199,1.0935,Unpooled
9.5000,91.4778,1.0311,100.7775,1.1142,95.4300,1.1034,Unpooled
10.0000,94.7703,1.0416,103.5694,1.1066,98.5364,1.1027,Unpooled
