sigma,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,winner
0.0100,22.5166,0.5571,227.5945,1.8739,23.2340,0.5736,Unpooled
0.0200,21.6249,0.5565,225.4400,2.0513,22.3184,0.5732,Unpooled
0.0300,21.9418,0.5398,230.1675,1.9706,23.0641,0.5625,Unpooled
0.0400,21.9675,0.5510,227.4419,1.8987,22.7105,0.5616,Unpooled
0.0500,22.7509,0.5614,228.6376,1.9079,23.5085,0.5732,Unpooled
0.0600,22.3631,0.5885,226.0799,1.9352,23.1653,0.5894,Unpooled
0.0700,22.6317,0.5551,226.5980,2.0702,23.6138,0.5808,Unpooled
0.0800,22.4008,0.5413,224.9663,1.8855,23.0942,0.5685,Unpooled
0.0900,21.4252,0.5594,227.4356,1.9126,22.3745,0.5873,Unpooled
0.1000,22.9973,0.5902,228.7826,1.9472,23.7624,0.5984,Unpooled
0.2000,23.1625,0.5499,231.4638,1.9412,23.9358,0.5536,Unpooled
0.3000,21.5459,0.5352,225.8638,2.0858,22.5225,0.5587,Unpooled
0.4000,23.2428,0.5619,227.8526,2.0399,23.8169,0.5828,Unpooled
0.5000,24.4754,0.5988,228.1365,1.8978,25.4248,0.6229,Unpooled
0.6000,23.2328,0.5400,225.3763,2.0216,24.3170,0.5490,Unpooled
0.7000,25.4249,0.5944,226.6212,2.0537,26.7259,0.6012,Unpooled
0.8000,27.2362,0.6042,231.4300,2.0736,28.2159,0.6218,Unpooled
0.9000,27.6018,0.5947,227.6774,2.0072,29.0743,0.6026,Unpooled
1.0000,27.8434,0.5548,224.1183,2.0344,29.5914,0.5726,Unpooled
1.5000,35.4607,0.5653,228.4582,2.0160,38.4369,0.6138,Unpooled
2.0000,42.4673,0.5817,230.1972,1.9562,46.6784,0.6271,Unpooled
2.5000,54.3496,0.6747,227.7207,1.9694,60.2280,0.7191,Unpooled
3.0000,65.8370,0.7016,230.2999,2.1272,73.9455,0.7793,Unpooled
3.5000,77.1448,0.7939,228.0100,2.0592,86.7932,0.8876,Unpooled
4.0000,89.3201,0.8437,231.9214,2.0308,100.8555,0.9483,Unpooled
4.5000,100.3295,0.9321,231.2539,2.2408,112.0936,1.0461,Unpooled
5.0000,113.7722,1.0244,232.3466,1.9833,126.5730,1.1630,Unpooled
5.5000,124.4358,1.1297,231.5993,2.0286,137.3409,1.2649,Unpooled
6.0000,135.1639,1.2607,229.1483,2.0841,147.5599,1.4120,Unpooled
6.5000,146.0214,1.3240,229.8843,2.0550,158.6308,1.4943,Unpooled
7.0000,155.0332,1.3863,230.2365,2.0371,166.9915,1.5453,Unpooled
7.5000,166.6951,1.5258,231.6390,2.0762,178.2692,1.6931,Unpooled
8.0000,172.1058,1.6960,228.5272,2.0880,183.2520,1.8362,Unpooled
8.5000,184.6027,1.7064,234.9153,2.0490,196.5165,1.8514,Unpooled
9.0000,191.3222,1.8762,232.9678,2.0965,203.5040,2.0165,Unpooled
9.5000,195.2285,1.8843,231.5657,2.1135,206.7910,2.0184,Unpooled
10.0000,205.1525,1.9357,238.5365,2.1321,218.1115,2.0874,Unpooled
