sigma,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,winner
0.0100,1.5321,0.0160,21.0011,0.2957,8.2440,0.1828,Unpooled
0.0200,1.5274,0.0142,20.8329,0.3219,8.1601,0.1912,Unpooled
0.0300,1.5319,0.0146,21.2918,0.3000,7.9015,0.1705,Unpooled
0.0400,1.5286,0.0151,20.8604,0.2958,7.6533,0.1708,Unpooled
0.0500,1.5749,0.0167,21.3209,0.2901,7.7526,0.1626,Unpooled
0.0600,1.5748,0.0174,20.5908,0.2967,7.5146,0.1633,Unpooled
0.0700,1.5627,0.0149,20.5931,0.3012,7.6995,0.1683,Unpooled
0.0800,1.5493,0.0143,20.4619,0.2907,7.4646,0.1627,Unpooled
0.0900,1.6013,0.0161,21.0085,0.3005,7.7594,0.1765,Unpooled
0.1000,1.6008,0.0156,21.2095,0.3051,7.8264,0.1678,Unpooled
0.2000,1.7989,0.0158,21.6428,0.3098,7.3696,0.1677,Unpooled
0.3000,2.0956,0.0161,20.9163,0.3190,6.9657,0.1532,Unpooled
0.4000,2.5184,0.0192,21.2106,0.3004,7.1296,0.1514,Unpooled
0.5000,3.0423,0.0235,20.9177,0.2879,7.5822,0.1522,Unpooled
0.6000,3.5866,0.0259,20.7814,0.3231,7.3843,0.1469,Unpooled
0.7000,4.1918,0.0317,21.0906,0.3133,7.9752,0.1612,Unpooled
0.8000,4.8029,0.0353,21.1865,0.3099,8.3681,0.1593,Unpooled
0.9000,5.4644,0.0427,21.0214,0.3180,8.7929,0.1652,Unpooled
1.0000,6.0705,0.0468,20.8328,0.3107,8.9334,0.1605,Unpooled
1.5000,9.3591,0.0788,20.8770,0.3038,11.0287,0.1674,Unpooled
2.0000,12.2300,0.1135,21.7350,0.3151,13.3573,0.1974,Unpooled
2.5000,14.4889,0.1441,21.2180,0.3058,15.1801,0.2231,Unpooled
3.0000,16.3090,0.1815,21.6729,0.3210,16.8735,0.2468,Unpooled
3.5000,17.4740,0.2011,21.7167,0.3102,17.8794,0.2636,Unpooled
4.0000,18.6851,0.2286,22.6421,0.3233,19.1347,0.2862,Unpooled
4.5000,19.1744,0.2483,22.8092,0.3443,19.6205,0.3126,Unpooled
5.0000,19.5721,0.2521,23.0648,0.3269,19.9120,0.3023,Unpooled
5.5000,19.6894,0.2611,23.1531,0.3172,19.7959,0.3007,Unpooled
6.0000,19.8011,0.2902,23.1764,0.3328,19.8250,0.3213,Unpooled
6.5000,19.8392,0.2867,23.6073,0.3476,19.7466,0.3118,EB
7.0000,19.8831,0.2842,23.7378,0.3455,19.8199,0.3061,EB
7.5000,20.0852,0.2977,24.1954,0.3342,19.9363,0.3134,EB
8.0000,19.4285,0.2885,23.5970,0.3390,19.2525,0.3014,EB
8.5000,20.3393,0.3005,25.0608,0.3625,20.2047,0.3109,EB
9.0000,20.3614,0.3056,24.7944,0.3573,20.2269,0.3133,EB
9.5000,19.9087,0.3086,25.0409,0.3619,19.7632,0.3171,EB
10.0000,20.6759,0.3164,25.7997,0.3648,20.5716,0.3222,EB
