sigma,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,winner
0.0100,1.9666,0.0168,21.4671,0.2932,16.1798,0.2775,Unpooled
0.0200,1.9952,0.0167,21.3177,0.3274,16.5876,0.2844,Unpooled
0.0300,1.9883,0.0163,21.7955,0.3014,15.5624,0.2874,Unpooled
0.0400,1.9705,0.0163,21.4119,0.2951,15.9830,0.2860,Unpooled
0.0500,1.9918,0.0167,21.7423,0.2905,15.5249,0.2787,Unpooled
0.0600,2.0040,0.0166,21.1178,0.2992,15.6962,0.2761,Unpooled
0.0700,2.0261,0.0159,21.0026,0.3057,15.2791,0.2806,Unpooled
0.0800,1.9890,0.0155,20.9789,0.2901,15.4601,0.2744,Unpooled
0.0900,2.0192,0.0160,21.5916,0.2977,15.1813,0.2605,Unpooled
0.1000,2.0307,0.0170,21.7522,0.3067,14.5087,0.2630,Unpooled
0.2000,2.1641,0.0159,22.1519,0.3111,13.0149,0.2565,Unpooled
0.3000,2.4112,0.0161,21.3929,0.3230,11.8475,0.2553,Unpooled
0.4000,2.7537,0.0166,21.6800,0.3005,10.8148,0.2394,Unpooled
0.5000,3.1647,0.0189,21.4884,0.2878,10.3677,0.2172,Unpooled
0.6000,3.6087,0.0195,21.3125,0.3231,9.9574,0.2184,Unpooled
0.7000,4.1032,0.0255,21.5836,0.3133,10.1428,0.2128,Unpooled
0.8000,4.6400,0.0286,21.7188,0.3115,10.3919,0.2072,Unpooled
0.9000,5.2004,0.0314,21.5473,0.3187,11.2468,0.2208,Unpooled
1.0000,5.7781,0.0357,21.2848,0.3121,11.8533,0.2274,Unpooled
1.5000,9.1218,0.0550,21.3841,0.3072,15.9743,0.2728,Unpooled
2.0000,12.5885,0.0786,22.1752,0.3161,19.9580,0.3176,Unpooled
2.5000,16.1492,0.1064,21.7345,0.3074,24.4898,0.3918,Unpooled
3.0000,19.3720,0.1164,22.0850,0.3231,30.0665,0.4277,Unpooled
3.5000,22.8764,0.1448,22.1838,0.3131,38.3077,0.5344,Pooled
4.0000,25.7902,0.1598,23.2081,0.3346,46.2721,0.5503,Pooled
4.5000,29.0913,0.1865,23.5306,0.3488,53.5568,0.5591,Pooled
5.0000,31.6092,0.2046,24.0246,0.3411,58.4652,0.5727,Pooled
5.5000,33.9873,0.2037,24.1165,0.3514,63.3715,0.5734,Pooled
6.0000,36.0182,0.2164,24.8997,0.3688,66.6638,0.5321,Pooled
6.5000,38.5958,0.2305,25.3873,0.3920,69.3936,0.5714,Pooled
7.0000,40.3706,0.2520,25.9776,0.4186,71.5600,0.5330,Pooled
7.5000,42.9549,0.2441,27.1842,0.4657,75.1242,0.5766,Pooled
8.0000,43.7409,0.2691,27.0287,0.5439,77.5349,0.5905,Pooled
8.5000,45.3530,0.2939,28.3767,0.5162,77.1394,0.5896,Pooled
9.0000,47.3550,0.2941,28.9933,0.5284,79.8808,0.6129,Pooled
9.5000,47.9347,0.3057,29.6514,0.5791,83.2160,0.6165,Pooled
10.0000,49.3129,0.2805,30.2602,0.5485,82.7253,0.6198,Pooled
