sigma,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,winner
0.0100,1.5321,0.0160,20.1686,0.3011,11.3309,0.1951,Unpooled
0.0200,1.5274,0.0142,19.9842,0.3277,11.0885,0.2038,Unpooled
0.0300,1.5319,0.0146,20.4600,0.3062,10.9673,0.1972,Unpooled
0.0400,1.5286,0.0151,20.0348,0.3013,10.8554,0.1961,Unpooled
0.0500,1.5749,0.0167,20.4915,0.2962,11.1922,0.1986,Unpooled
0.0600,1.5748,0.0174,19.7405,0.3018,10.5901,0.2020,Unpooled
0.0700,1.5627,0.0149,19.7423,0.3076,11.3848,0.2067,Unpooled
0.0800,1.5493,0.0143,19.6218,0.2961,11.0817,0.1896,Unpooled
0.0900,1.6013,0.0161,20.1788,0.3062,11.4501,0.1890,Unpooled
0.1000,1.6008,0.0156,20.3801,0.3112,11.4381,0.2083,Unpooled
0.2000,1.7989,0.0158,20.8254,0.3157,11.7898,0.2153,Unpooled
0.3000,2.0956,0.0161,20.0798,0.3254,11.3759,0.2108,Unpooled
0.4000,2.5184,0.0192,20.3776,0.3073,11.9622,0.1965,Unpooled
0.5000,3.0423,0.0235,20.1000,0.2939,12.5526,0.2018,Unpooled
0.6000,3.5866,0.0259,19.9661,0.3300,12.1997,0.1911,Unpooled
0.7000,4.1918,0.0317,20.2894,0.3207,12.4029,0.1986,Unpooled
0.8000,4.8029,0.0353,20.4253,0.3160,12.9187,0.1960,Unpooled
0.9000,5.4644,0.0427,20.2739,0.3249,12.9951,0.2059,Unpooled
1.0000,6.0705,0.0468,20.1024,0.3185,13.1573,0.2013,Unpooled
1.5000,9.3591,0.0788,20.2959,0.3100,14.3335,0.1974,Unpooled
2.0000,12.2300,0.1135,21.2452,0.3194,15.8869,0.2210,Unpooled
2.5000,14.4889,0.1441,20.7844,0.3111,16.7703,0.2325,Unpooled
3.0000,16.3090,0.1815,21.2605,0.3232,18.0253,0.2692,Unpooled
3.5000,17.4740,0.2011,21.3629,0.3130,18.4779,0.2715,Unpooled
4.0000,18.6851,0.2286,22.2054,0.3290,19.4654,0.2951,Unpooled
4.5000,19.1744,0.2483,22.2750,0.3339,19.7312,0.3150,Unpooled
5.0000,19.5721,0.2521,22.6856,0.3208,19.9526,0.3033,Unpooled
5.5000,19.6894,0.2611,22.7193,0.3239,19.8036,0.3010,Unpooled
6.0000,19.8011,0.2902,22.6775,0.3495,19.8297,0.3213,Unpooled
6.5000,19.8392,0.2867,23.0215,0.3417,19.7519,0.3121,EB
7.0000,19.8831,0.2842,23.4711,0.3445,19.8194,0.3061,EB
7.5000,20.0852,0.2977,23.7470,0.3504,19.9359,0.3134,EB
8.0000,19.4285,0.2885,23.4849,0.3328,19.2524,0.3014,EB
8.5000,20.3393,0.3005,24.6401,0.3547,20.2047,0.3109,EB
9.0000,20.3614,0.3056,24.7977,0.3465,20.2269,0.3133,EB
9.5000,19.9087,0.3086,24.4541,0.3640,19.7632,0.3171,EB
10.0000,20.6759,0.3164,25.6086,0.3719,20.5716,0.3222,EB
