sigma,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,winner
0.0100,1.9666,0.0168,20.4998,0.2984,8.0280,0.2650,Unpooled
0.0200,1.9952,0.0167,20.3226,0.3252,8.1807,0.2749,Unpooled
0.0300,1.9883,0.0163,20.7890,0.3034,8.5095,0.2886,Unpooled
0.0400,1.9705,0.0163,20.3684,0.2990,8.2066,0.2865,Unpooled
0.0500,1.9918,0.0167,20.8293,0.2935,7.8862,0.2740,Unpooled
0.0600,2.0040,0.0166,20.1142,0.3056,7.9476,0.2730,Unpooled
0.0700,2.0261,0.0159,20.0882,0.3045,7.3875,0.2687,Unpooled
0.0800,1.9890,0.0155,19.9664,0.2937,7.0288,0.2696,Unpooled
0.0900,2.0192,0.0160,20.5188,0.3036,7.1292,0.2507,Unpooled
0.1000,2.0307,0.0170,20.7110,0.3084,7.3000,0.2689,Unpooled
0.2000,2.1641,0.0159,21.1523,0.3129,5.6857,0.2452,Unpooled
0.3000,2.4112,0.0161,20.4176,0.3224,5.4731,0.2216,Unpooled
0.4000,2.7537,0.0166,20.7139,0.3038,5.2077,0.1888,Unpooled
0.5000,3.1647,0.0189,20.4263,0.2910,5.4915,0.1717,Unpooled
0.6000,3.6087,0.0195,20.2861,0.3269,6.2802,0.1755,Unpooled
0.7000,4.1032,0.0255,20.5921,0.3173,7.0168,0.1629,Unpooled
0.8000,4.6400,0.0286,20.7109,0.3132,8.3171,0.1719,Unpooled
0.9000,5.2004,0.0314,20.5401,0.3219,9.1231,0.1769,Unpooled
1.0000,5.7781,0.0357,20.3633,0.3152,9.7151,0.1654,Unpooled
1.5000,9.1218,0.0550,20.4970,0.3075,12.9317,0.1501,Unpooled
2.0000,12.5885,0.0786,21.4156,0.3178,15.1760,0.1575,Unpooled
2.5000,16.1492,0.1064,20.9604,0.3086,16.9469,0.1792,Unpooled
3.0000,19.3720,0.1164,21.5233,0.3197,18.9645,0.2299,EB
3.5000,22.8764,0.1448,21.6911,0.3164,20.5078,0.2495,EB
4.0000,25.7902,0.1598,22.8547,0.3422,21.8650,0.3037,EB
4.5000,29.0913,0.1865,22.8572,0.3438,24.4364,0.4072,Pooled
5.0000,31.6092,0.2046,23.6101,0.3770,26.9699,0.5632,Pooled
5.5000,33.9873,0.2037,23.8290,0.3426,27.9771,0.6151,Pooled
6.0000,36.0182,0.2164,24.0791,0.3669,32.1223,0.8275,Pooled
6.5000,38.5958,0.2305,24.6907,0.4156,34.7474,0.9651,Pooled
7.0000,40.3706,0.2520,25.7443,0.4426,37.9174,1.1219,Pooled
7.5000,42.9549,0.2441,26.4287,0.4574,43.1134,1.3022,Pooled
8.0000,43.7409,0.2691,25.7859,0.4068,44.1459,1.4101,Pooled
8.5000,45.3530,0.2939,27.2765,0.4689,46.0390,1.5174,Pooled
9.0000,47.3550,0.2941,28.5229,0.5288,52.1662,1.7061,Pooled
9.5000,47.9347,0.3057,29.2301,0.5726,54.4031,1.8772,Pooled
10.0000,49.3129,0.2805,29.9765,0.5375,56.7247,1.8894,Pooled
