sigma,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,winner
0.0100,1.4279,0.0120,49.5902,0.3915,1.6586,0.0723,Unpooled
0.0200,1.4138,0.0105,49.5298,0.4105,1.6753,0.0861,Unpooled
0.0300,1.4601,0.0126,49.6567,0.3918,1.5603,0.0389,Unpooled
0.0400,1.4467,0.0106,49.6627,0.3980,1.6641,0.0588,Unpooled
0.0500,1.4576,0.0115,49.2822,0.3789,1.5851,0.0320,Unpooled
0.0600,1.4817,0.0117,49.6030,0.3874,1.6659,0.0531,Unpooled
0.0700,1.4708,0.0113,49.6538,0.3894,1.5583,0.0153,Unpooled
0.0800,1.4582,0.0099,49.1259,0.3830,1.8142,0.0965,Unpooled
0.0900,1.4703,0.0093,49.1010,0.3705,1.6478,0.0570,Unpooled
0.1000,1.4805,0.0095,49.7536,0.4063,1.6766,0.0375,Unpooled
0.2000,1.7392,0.0133,49.4668,0.3782,1.8466,0.0190,Unpooled
0.3000,2.0518,0.0126,48.6257,0.3947,2.2503,0.0392,Unpooled
0.4000,2.4679,0.0140,48.6943,0.3764,2.7724,0.0333,Unpooled
0.5000,2.9971,0.0159,49.2286,0.3616,3.3430,0.0227,Unpooled
0.6000,3.5944,0.0194,48.5885,0.3850,4.0175,0.0274,Unpooled
0.7000,4.2079,0.0223,48.6937,0.3766,4.7549,0.0423,Unpooled
0.8000,4.8395,0.0253,49.7218,0.3569,5.6333,0.0434,Unpooled
0.9000,5.5549,0.0290,49.0825,0.3624,6.4355,0.0395,Unpooled
1.0000,6.2765,0.0322,48.6388,0.3885,7.3155,0.0443,Unpooled
1.5000,10.0895,0.0537,49.4732,0.3728,12.0899,0.0690,Unpooled
2.0000,13.6517,0.0703,50.8604,0.3844,16.9391,0.0848,Unpooled
2.5000,17.4655,0.0806,50.8498,0.3756,21.6830,0.1118,Unpooled
3.0000,20.8681,0.1009,51.3802,0.3704,26.7071,0.1269,Unpooled
3.5000,24.1026,0.1113,50.9216,0.3701,30.7331,0.1630,Unpooled
4.0000,27.0689,0.1279,52.2081,0.3718,34.4007,0.1864,Unpooled
4.5000,29.6649,0.1408,52.3350,0.3847,38.0793,0.2155,Unpooled
5.0000,32.1710,0.1559,52.4314,0.3494,40.8809,0.2319,Unpooled
5.5000,34.2094,0.1605,52.9462,0.3589,43.2030,0.2535,Unpooled
6.0000,36.0450,0.1689,52.5901,0.3514,45.1326,0.2933,Unpooled
6.5000,38.0719,0.1682,53.1889,0.3479,46.8811,0.3073,Unpooled
7.0000,39.3534,0.1803,52.9886,0.3509,48.6886,0.3278,Unpooled
7.5000,41.0118,0.1952,53.8370,0.3458,50.2716,0.3386,Unpooled
8.0000,41.8584,0.1911,53.4272,0.3413,50.5699,0.3560,Unpooled
8.5000,43.1118,0.2019,53.5814,0.3389,51.8419,0.3673,Unpooled
9.0000,44.7616,0.2123,54.2398,0.3551,52.1735,0.3883,Unpooled
9.5000,45.2804,0.2204,53.5929,0.3474,53.2513,0.3928,Unpooled
10.0000,46.5038,0.2273,54.6753,0.3409,54.3987,0.4068,Unpooled
