sigma,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,winner
0.0100,1.5015,0.0069,0.5022,0.0032,0.5015,0.0032,EB
0.0200,1.5024,0.0073,0.4981,0.0031,0.4977,0.0030,EB
0.0300,1.4998,0.0069,0.4982,0.0031,0.5085,0.0030,Pooled
0.0400,1.4887,0.0070,0.5037,0.0033,0.4987,0.0031,EB
0.0500,1.4971,0.0071,0.4956,0.0030,0.4999,0.0033,Pooled
0.0600,1.5040,0.0067,0.4972,0.0032,0.5057,0.0033,Pooled
0.0700,1.5049,0.0070,0.5017,0.0030,0.4959,0.0031,EB
0.0800,1.5017,0.0067,0.5022,0.0033,0.5018,0.0032,EB
0.0900,1.5121,0.0071,0.5023,0.0032,0.5012,0.0033,EB
0.1000,1.5079,0.0068,0.4999,0.0029,0.4996,0.0031,EB
0.2000,1.5108,0.0070,0.5052,0.0032,0.4976,0.0031,EB
0.3000,1.6896,0.0073,0.4982,0.0031,0.4980,0.0032,EB
0.4000,2.0491,0.0086,0.5000,0.0030,0.4992,0.0034,EB
0.5000,2.5494,0.0111,0.5020,0.0030,0.5013,0.0031,EB
0.6000,3.1596,0.0134,0.5025,0.0030,0.5085,0.0032,Pooled
0.7000,3.7988,0.0178,0.4989,0.0033,0.4974,0.0032,EB
0.8000,4.5540,0.0226,0.5044,0.0033,0.4992,0.0031,EB
0.9000,5.3397,0.0285,0.5066,0.0034,0.5022,0.0038,EB
1.0000,6.2613,0.0328,0.5106,0.0032,0.5054,0.0030,EB
1.5000,11.0978,0.0637,0.6315,0.0093,0.6068,0.0833,EB
2.0000,16.0665,0.0811,0.8638,0.0174,0.7625,0.1137,EB
2.5000,20.8783,0.0994,1.1354,0.0256,1.1750,0.2240,Pooled
3.0000,24.6938,0.1106,1.5309,0.0392,2.3584,0.4868,Pooled
3.5000,27.8397,0.1163,1.9114,0.0508,3.3808,0.6066,Pooled
4.0000,30.5550,0.1167,2.3846,0.0694,1.9307,0.3848,EB
4.5000,32.9983,0.1209,2.7147,0.0780,4.5990,0.7550,Pooled
5.0000,35.2786,0.1208,3.3630,0.1055,4.3516,0.7063,Pooled
5.5000,36.5992,0.1130,4.0125,0.1467,5.1501,0.7911,Pooled
6.0000,37.8966,0.1123,4.4296,0.1425,7.5364,0.9819,Pooled
6.5000,39.3925,0.1085,5.0364,0.1777,6.2996,0.8803,Pooled
7.0000,40.1626,0.1059,5.5866,0.1775,7.2810,0.9393,Pooled
7.5000,41.3201,0.1047,6.3650,0.2215,9.8692,1.1248,Pooled
8.0000,41.9888,0.1013,6.8440,0.2726,8.8401,1.0139,Pooled
8.5000,42.9061,0.1013,7.3469,0.2544,10.2377,1.1351,Pooled
9.0000,43.4098,0.0949,8.3558,0.3206,9.2341,1.0062,Pooled
9.5000,43.9324,0.0980,9.7131,0.4007,9.3310,1.0189,EB
10.0000,44.4388,0.0832,9.5684,0.3628,10.0315,1.0892,Pooled
