sigma,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,winner
0.0100,2.0595,0.0229,20.5008,0.2987,3.1758,0.1562,Unpooled
0.0200,2.0469,0.0211,20.3248,0.3249,3.3656,0.1657,Unpooled
0.0300,2.0567,0.0211,20.7851,0.3035,3.0424,0.1554,Unpooled
0.0400,2.0550,0.0211,20.3687,0.2987,3.4595,0.1745,Unpooled
0.0500,2.1090,0.0232,20.8245,0.2934,3.4663,0.1694,Unpooled
0.0600,2.1157,0.0232,20.1155,0.3056,3.2310,0.1608,Unpooled
0.0700,2.0778,0.0235,20.0889,0.3045,3.2426,0.1554,Unpooled
0.0800,2.0693,0.0205,19.9706,0.2940,3.1474,0.1635,Unpooled
0.0900,2.1043,0.0210,20.5231,0.3039,3.3485,0.1618,Unpooled
0.1000,2.0663,0.0199,20.7165,0.3083,3.4458,0.1742,Unpooled
0.2000,2.2293,0.0210,21.1538,0.3125,3.4354,0.1654,Unpooled
0.3000,2.4930,0.0219,20.4154,0.3227,4.0836,0.1664,Unpooled
0.4000,2.8190,0.0212,20.7103,0.3038,4.5512,0.1598,Unpooled
0.5000,3.2124,0.0232,20.4218,0.2909,5.2567,0.1650,Unpooled
0.6000,3.6736,0.0260,20.2906,0.3270,6.1303,0.1679,Unpooled
0.7000,4.0976,0.0281,20.5927,0.3173,6.9583,0.1622,Unpooled
0.8000,4.6216,0.0311,20.7114,0.3131,8.2443,0.1683,Unpooled
0.9000,5.2528,0.0327,20.5403,0.3218,8.9827,0.1655,Unpooled
1.0000,5.8332,0.0362,20.3670,0.3153,9.7407,0.1676,Unpooled
1.5000,9.2683,0.0532,20.4965,0.3074,13.1372,0.1551,Unpooled
2.0000,12.9079,0.0683,21.4531,0.3187,15.2246,0.1641,Unpooled
2.5000,16.7546,0.0891,21.0373,0.3113,16.7630,0.1902,Unpooled
3.0000,20.4592,0.0995,21.5894,0.3224,18.5258,0.2371,EB
3.5000,23.9238,0.1210,21.8251,0.3179,19.8274,0.2901,EB
4.0000,27.4005,0.1300,22.7635,0.3349,20.4211,0.3034,EB
4.5000,30.9153,0.1486,22.9091,0.3470,22.2944,0.4020,EB
5.0000,33.9538,0.1665,23.7268,0.3629,22.9268,0.4491,EB
5.5000,36.7637,0.1689,23.9767,0.3404,23.4734,0.4907,EB
6.0000,39.2704,0.1837,24.2003,0.3649,26.0538,0.6884,Pooled
6.5000,42.1565,0.1972,24.7867,0.3769,25.9561,0.7392,Pooled
7.0000,44.0196,0.2051,25.3929,0.3891,26.6359,0.7515,Pooled
7.5000,46.3161,0.2114,26.1839,0.4050,28.1267,0.8895,Pooled
8.0000,47.7747,0.2342,26.1971,0.4349,28.5289,0.9549,Pooled
8.5000,49.6747,0.2404,27.8343,0.4492,30.0840,1.0664,Pooled
9.0000,51.6387,0.2417,28.3365,0.4410,29.0041,0.9254,Pooled
9.5000,52.6299,0.2555,29.9147,0.5799,29.8276,1.0907,EB
10.0000,54.2286,0.2403,30.2729,0.4959,31.2113,1.1611,Pooled
