sigma,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,winner
0.0100,1.5015,0.0069,1.4180,0.0450,5.3215,0.1358,Pooled
0.0200,1.5024,0.0073,1.5140,0.0482,5.2148,0.1270,Unpooled
0.0300,1.4998,0.0069,1.4720,0.0484,5.2222,0.1236,Pooled
0.0400,1.4887,0.0070,1.5080,0.0525,5.5296,0.1326,Unpooled
0.0500,1.4971,0.0071,1.4000,0.0424,5.3172,0.1295,Pooled
0.0600,1.5040,0.0067,1.4500,0.0475,5.3071,0.1265,Pooled
0.0700,1.5049,0.0070,1.4440,0.0479,5.5467,0.1366,Pooled
0.0800,1.5017,0.0067,1.5100,0.0487,5.2494,0.1320,Unpooled
0.0900,1.5121,0.0071,1.5300,0.0530,5.4413,0.1381,Unpooled
0.1000,1.5079,0.0068,1.5200,0.0518,5.0185,0.1294,Unpooled
0.2000,1.5108,0.0070,1.5400,0.0527,4.6835,0.1292,Unpooled
0.3000,1.6896,0.0073,1.4880,0.0492,4.7708,0.1465,Pooled
0.4000,2.0491,0.0086,1.4740,0.0527,3.8179,0.1290,Pooled
0.5000,2.5494,0.0111,1.5320,0.0514,3.3654,0.1226,Pooled
0.6000,3.1596,0.0134,1.4920,0.0510,2.7474,0.0983,Pooled
0.7000,3.7988,0.0178,1.4720,0.0437,2.6273,0.0928,Pooled
0.8000,4.5540,0.0226,1.5000,0.0490,2.3435,0.0642,Pooled
0.9000,5.3397,0.0285,1.5340,0.0518,2.4478,0.0683,Pooled
1.0000,6.2613,0.0328,1.5240,0.0496,2.5539,0.0572,Pooled
1.5000,11.0978,0.0637,1.5280,0.0471,4.3321,0.0703,Pooled
2.0000,16.0665,0.0811,1.6720,0.0546,7.0829,0.1093,Pooled
2.5000,20.8783,0.0994,1.9500,0.0640,10.8935,0.1676,Pooled
3.0000,24.6938,0.1106,2.0960,0.0595,14.9322,0.2203,Pooled
3.5000,27.8397,0.1163,2.4940,0.0711,18.7126,0.2368,Pooled
4.0000,30.5550,0.1167,2.8600,0.0797,23.4102,0.2945,Pooled
4.5000,32.9983,0.1209,3.4140,0.1126,25.9635,0.2797,Pooled
5.0000,35.2786,0.1208,3.9360,0.1246,28.4934,0.2585,Pooled
5.5000,36.5992,0.1130,4.3560,0.1418,30.9036,0.2564,Pooled
6.0000,37.8966,0.1123,5.1800,0.1623,31.8665,0.2547,Pooled
6.5000,39.3925,0.1085,5.4140,0.1917,33.0004,0.2483,Pooled
7.0000,40.1626,0.1059,6.1640,0.2176,33.6907,0.2440,Pooled
7.5000,41.3201,0.1047,7.2700,0.2841,34.5276,0.2293,Pooled
8.0000,41.9888,0.1013,7.0680,0.2377,35.5134,0.2472,Pooled
8.5000,42.9061,0.1013,8.3720,0.3214,36.1227,0.2464,Pooled
9.0000,43.4098,0.0949,8.6520,0.3171,36.3620,0.2510,Pooled
9.5000,43.9324,0.0980,9.6600,0.3414,37.2478,0.2540,Pooled
10.0000,44.4388,0.0832,9.6660,0.3355,38.1594,0.2446,Pooled
