sigma,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb,winner
0.0100,1.4279,0.0120,48.5949,0.3454,1.6278,0.0340,Unpooled
0.0200,1.4138,0.0105,48.4710,0.3625,1.6045,0.0288,Unpooled
0.0300,1.4601,0.0126,48.8498,0.3502,1.6099,0.0270,Unpooled
0.0400,1.4467,0.0106,48.5428,0.3527,1.6983,0.0422,Unpooled
0.0500,1.4576,0.0115,48.4657,0.3444,1.6837,0.0448,Unpooled
0.0600,1.4817,0.0117,48.8303,0.3490,1.6594,0.0270,Unpooled
0.0700,1.4708,0.0113,48.7877,0.3525,1.6665,0.0287,Unpooled
0.0800,1.4582,0.0099,48.3546,0.3405,1.6530,0.0389,Unpooled
0.0900,1.4703,0.0093,48.4447,0.3392,1.6992,0.0349,Unpooled
0.1000,1.4805,0.0095,48.7884,0.3633,1.7072,0.0373,Unpooled
0.2000,1.7392,0.0133,49.1129,0.3572,1.8700,0.0284,Unpooled
0.3000,2.0518,0.0126,48.3520,0.3757,2.1855,0.0334,Unpooled
0.4000,2.4679,0.0140,48.4110,0.3620,2.6589,0.0302,Unpooled
0.5000,2.9971,0.0159,48.9599,0.3457,3.1878,0.0310,Unpooled
0.6000,3.5944,0.0194,48.4202,0.3694,3.7750,0.0310,Unpooled
0.7000,4.2079,0.0223,48.6457,0.3645,4.3711,0.0313,Unpooled
0.8000,4.8395,0.0253,49.6307,0.3486,5.0417,0.0327,Unpooled
0.9000,5.5549,0.0290,49.0684,0.3551,5.8333,0.0416,Unpooled
1.0000,6.2765,0.0322,48.4913,0.3826,6.6010,0.0424,Unpooled
1.5000,10.0895,0.0537,49.4715,0.3700,10.5304,0.0630,Unpooled
2.0000,13.6517,0.0703,50.6509,0.3752,14.4011,0.0797,Unpooled
2.5000,17.4655,0.0806,50.9967,0.3769,17.8251,0.1130,Unpooled
3.0000,20.8681,0.1009,51.4729,0.3792,20.6988,0.1343,EB
3.5000,24.1026,0.1113,50.9078,0.3795,22.1215,0.1673,EB
4.0000,27.0689,0.1279,52.3226,0.3829,23.7905,0.1796,EB
4.5000,29.6649,0.1408,52.0382,0.3648,23.9125,0.2094,EB
5.0000,32.1710,0.1559,52.2110,0.3570,24.2126,0.2189,EB
5.5000,34.2094,0.1605,52.9868,0.3514,25.2841,0.2409,EB
6.0000,36.0450,0.1689,53.0718,0.3501,26.1314,0.2309,EB
6.5000,38.0719,0.1682,52.9529,0.3334,26.7514,0.2366,EB
7.0000,39.3534,0.1803,53.0033,0.3465,27.8064,0.2464,EB
7.5000,41.0118,0.1952,53.7673,0.3491,28.8448,0.2540,EB
8.0000,41.8584,0.1911,53.3539,0.3466,29.8682,0.2727,EB
8.5000,43.1118,0.2019,53.6013,0.3417,31.3194,0.2734,EB
9.0000,44.7616,0.2123,53.8302,0.3580,32.4074,0.2611,EB
9.5000,45.2804,0.2204,54.1362,0.3465,33.6082,0.3007,EB
10.0000,46.5038,0.2273,54.7577,0.3533,33.9746,0.2692,EB
